sensor_id,project_id,logger_id,Negative_Days,Days_Above_9900,Days_Above_9500,Setup_days,Flat_days,Cnt_Days_10X,Cnt_Days_20X,Cnt_Days_30X,Cnt_Days_40X,Class
25885,2990,25883,0,0,0,3,0,91,0,11,5,A
25886,2990,25883,14,0,0,9,10,74,0,12,21,A
25888,2990,25883,5,0,0,6,3,84,1,11,11,A
25891,3046,25889,7,0,0,9,0,82,0,11,14,A
25892,3046,25889,15,0,0,7,0,77,0,11,19,A
25894,3046,25889,7,0,0,8,0,84,0,11,12,A
25897,3045,25895,10,0,0,6,0,70,0,15,22,A
25898,3045,25895,19,0,0,17,9,60,0,15,32,A
25900,3045,25895,14,0,0,9,11,63,0,15,29,A
25909,3044,25907,1,0,0,3,0,92,0,12,3,A
25910,3044,25907,1,0,0,4,0,91,0,12,4,A
25912,3044,25907,0,0,0,3,0,92,0,12,3,A
25915,3043,25913,8,0,0,4,7,62,0,33,12,A
25916,3043,25913,8,0,0,3,7,64,0,33,10,A
25918,3043,25913,5,0,0,6,1,66,0,34,7,A
25921,3018,25919,6,0,0,3,0,86,0,13,8,A
25922,3018,25919,1,0,0,3,0,90,0,13,4,A
25924,3018,25919,7,0,0,6,1,83,0,13,11,A
25927,3022,25925,8,0,0,2,0,73,1,24,9,A
25928,3022,25925,8,0,0,1,1,75,0,24,8,A
25930,3022,25925,8,0,0,2,0,73,1,24,9,A
25933,3017,25931,0,0,0,1,0,93,0,13,1,A
25934,3017,25931,0,0,0,3,0,91,0,13,3,A
25936,3017,25931,0,0,0,2,0,91,0,13,3,A
25939,3082,25937,1,0,0,6,0,84,0,15,8,A
25940,3082,25937,19,0,0,11,0,65,0,16,26,A
25942,3082,25937,2,0,0,5,0,83,0,15,9,A
25945,3029,25943,0,0,0,1,0,89,0,17,1,A
25946,3029,25943,1,0,0,1,0,88,0,17,2,A
25948,3029,25943,0,0,0,1,0,88,0,17,2,A
25951,3030,25949,0,0,0,2,0,87,0,17,3,A
