sensor_id,datetime,value,gap
25083,2015-05-17 00:00:00,1490,1490
25083,2015-05-17 01:00:00,1500,10
25083,2015-05-17 02:00:00,1500,0
25083,2015-05-17 03:00:00,1505,5
25083,2015-05-17 04:00:00,1505,0
25083,2015-05-17 05:00:00,1525,20
25083,2015-05-17 06:00:00,1530,5
25083,2015-05-17 07:00:00,1530,0
25083,2015-05-17 08:00:00,1505,-25
25083,2015-05-17 09:00:00,1475,-30
25083,2015-05-17 10:00:00,1455,-20
25083,2015-05-17 11:00:00,1455,0
25083,2015-05-17 12:00:00,1440,-15
25083,2015-05-17 13:00:00,1450,10
25083,2015-05-17 14:00:00,1460,10
25083,2015-05-17 15:00:00,1505,45
25083,2015-05-17 16:00:00,1530,25
25083,2015-05-17 17:00:00,1565,35
25083,2015-05-17 18:00:00,1585,20
25083,2015-05-17 19:00:00,1605,20
25083,2015-05-17 20:00:00,1620,15
25083,2015-05-17 21:00:00,1625,5
25083,2015-05-17 22:00:00,1635,10
25083,2015-05-17 23:00:00,1640,5
25083,2015-05-18 00:00:00,1650,10
25083,2015-05-18 01:00:00,1655,5
25083,2015-05-18 02:00:00,1660,5
25083,2015-05-18 03:00:00,1670,10
25083,2015-05-18 04:00:00,1670,0
25083,2015-05-18 05:00:00,1675,5
25083,2015-05-18 06:00:00,1665,-10
25083,2015-05-18 07:00:00,1605,-60
25083,2015-05-18 08:00:00,1560,-45
25083,2015-05-18 09:00:00,1510,-50
25083,2015-05-18 10:00:00,1480,-30
25083,2015-05-18 11:00:00,1510,30
25083,2015-05-18 12:00:00,1505,-5
25083,2015-05-18 13:00:00,1535,30
25083,2015-05-18 14:00:00,1560,25
25083,2015-05-18 15:00:00,1610,50
25083,2015-05-18 16:00:00,1670,60
25083,2015-05-18 17:00:00,1725,55
25083,2015-05-18 18:00:00,1740,15
25083,2015-05-18 19:00:00,1760,20
25083,2015-05-18 20:00:00,1775,15
25083,2015-05-18 21:00:00,1800,25
25083,2015-05-18 22:00:00,1815,15
25083,2015-05-18 23:00:00,1825,10
25083,2015-05-19 00:00:00,1835,10
25083,2015-05-19 01:00:00,1850,15
25083,2015-05-19 02:00:00,1860,10
25083,2015-05-19 03:00:00,1870,10
25083,2015-05-19 04:00:00,1880,10
25083,2015-05-19 05:00:00,1890,10
25083,2015-05-19 06:00:00,1900,10
25083,2015-05-19 07:00:00,1900,0
25083,2015-05-19 08:00:00,1880,-20
25083,2015-05-19 09:00:00,1880,0
25083,2015-05-19 10:00:00,1865,-15
25083,2015-05-19 11:00:00,1865,0
25083,2015-05-19 12:00:00,1875,10
25083,2015-05-19 13:00:00,1915,40
25083,2015-05-19 14:00:00,1930,15
25083,2015-05-19 15:00:00,1965,35
25083,2015-05-19 16:00:00,2010,45
25083,2015-05-19 17:00:00,2045,35
25083,2015-05-19 18:00:00,2060,15
25083,2015-05-19 19:00:00,2075,15
25083,2015-05-19 20:00:00,2090,15
25083,2015-05-19 21:00:00,2100,10
25083,2015-05-19 22:00:00,2110,10
25083,2015-05-19 23:00:00,2115,5
25083,2015-05-20 00:00:00,2130,15
25083,2015-05-20 01:00:00,2140,10
25083,2015-05-20 02:00:00,2155,15
25083,2015-05-20 03:00:00,2170,15
25083,2015-05-20 04:00:00,2170,0
25083,2015-05-20 05:00:00,2170,0
25083,2015-05-20 06:00:00,2170,0
25083,2015-05-20 07:00:00,2160,-10
25083,2015-05-20 08:00:00,2145,-15
25083,2015-05-20 09:00:00,2120,-25
25083,2015-05-20 10:00:00,2100,-20
25083,2015-05-20 11:00:00,2100,0
25083,2015-05-20 12:00:00,2130,30
25083,2015-05-20 13:00:00,2135,5
25083,2015-05-20 14:00:00,2165,30
25083,2015-05-20 15:00:00,2185,20
25083,2015-05-20 16:00:00,2235,50
25083,2015-05-20 17:00:00,2270,35
25083,2015-05-20 18:00:00,2290,20
25083,2015-05-20 19:00:00,2305,15
25083,2015-05-20 20:00:00,2320,15
25083,2015-05-20 21:00:00,2325,5
25083,2015-05-20 22:00:00,2335,10
25083,2015-05-20 23:00:00,2340,5
25083,2015-05-21 00:00:00,2350,10
25083,2015-05-21 01:00:00,2365,15
25083,2015-05-21 02:00:00,2375,10
25083,2015-05-21 03:00:00,2390,15
25083,2015-05-21 04:00:00,2395,5
25083,2015-05-21 05:00:00,2415,20
25083,2015-05-21 06:00:00,2420,5
25083,2015-05-21 07:00:00,2420,0
25083,2015-05-21 08:00:00,2400,-20
25083,2015-05-21 09:00:00,2390,-10
25083,2015-05-21 10:00:00,2395,5
25083,2015-05-21 11:00:00,2405,10
25083,2015-05-21 12:00:00,2405,0
25083,2015-05-21 13:00:00,2410,5
25083,2015-05-21 14:00:00,2420,10
25083,2015-05-21 15:00:00,2445,25
25083,2015-05-21 16:00:00,2475,30
25083,2015-05-21 17:00:00,2500,25
25083,2015-05-21 18:00:00,2510,10
25083,2015-05-21 19:00:00,2525,15
25083,2015-05-21 20:00:00,2535,10
25083,2015-05-21 21:00:00,2545,10
25083,2015-05-21 22:00:00,2550,5
25083,2015-05-21 23:00:00,2560,10
25083,2015-05-22 00:00:00,2565,5
25083,2015-05-22 01:00:00,2575,10
25083,2015-05-22 02:00:00,2585,10
25083,2015-05-22 03:00:00,2590,5
25083,2015-05-22 04:00:00,2595,5
25083,2015-05-22 05:00:00,2600,5
25083,2015-05-22 06:00:00,2620,20
25083,2015-05-22 07:00:00,2615,-5
25083,2015-05-22 08:00:00,2595,-20
25083,2015-05-22 09:00:00,2585,-10
25083,2015-05-22 10:00:00,2575,-10
25083,2015-05-22 11:00:00,2570,-5
25083,2015-05-22 12:00:00,2585,15
25083,2015-05-22 13:00:00,2595,10
25083,2015-05-22 14:00:00,2610,15
25083,2015-05-22 15:00:00,2640,30
25083,2015-05-22 16:00:00,2665,25
25083,2015-05-22 17:00:00,2685,20
25083,2015-05-22 18:00:00,2700,15
25083,2015-05-22 19:00:00,2710,10
25083,2015-05-22 20:00:00,2720,10
25083,2015-05-22 21:00:00,2730,10
25083,2015-05-22 22:00:00,2735,5
25083,2015-05-22 23:00:00,2745,10
25083,2015-05-23 00:00:00,2750,5
25083,2015-05-23 01:00:00,2765,15
25083,2015-05-23 02:00:00,2780,15
25083,2015-05-23 03:00:00,2790,10
25083,2015-05-23 04:00:00,2795,5
25083,2015-05-23 05:00:00,2815,20
25083,2015-05-23 06:00:00,2830,15
25083,2015-05-23 07:00:00,2825,-5
25083,2015-05-23 08:00:00,2805,-20
25083,2015-05-23 09:00:00,2800,-5
25083,2015-05-23 10:00:00,2785,-15
25083,2015-05-23 11:00:00,2775,-10
25083,2015-05-23 12:00:00,2775,0
25083,2015-05-23 13:00:00,2775,0
25083,2015-05-23 14:00:00,2795,20
25083,2015-05-23 15:00:00,2820,25
25083,2015-05-23 16:00:00,2855,35
25083,2015-05-23 17:00:00,2885,30
25083,2015-05-23 18:00:00,2895,10
25083,2015-05-23 19:00:00,2900,5
25083,2015-05-23 20:00:00,2910,10
25083,2015-05-23 21:00:00,2915,5
25083,2015-05-23 22:00:00,2920,5
25083,2015-05-23 23:00:00,2925,5
25084,2015-05-17 00:00:00,1280,1280
25084,2015-05-17 01:00:00,1290,10
25084,2015-05-17 02:00:00,1290,0
25084,2015-05-17 03:00:00,1300,10
25084,2015-05-17 04:00:00,1300,0
25084,2015-05-17 05:00:00,1310,10
25084,2015-05-17 06:00:00,1325,15
25084,2015-05-17 07:00:00,1320,-5
25084,2015-05-17 08:00:00,1295,-25
25084,2015-05-17 09:00:00,1260,-35
25084,2015-05-17 10:00:00,1245,-15
25084,2015-05-17 11:00:00,1245,0
25084,2015-05-17 12:00:00,1240,-5
25084,2015-05-17 13:00:00,1240,0
25084,2015-05-17 14:00:00,1260,20
25084,2015-05-17 15:00:00,1300,40
25084,2015-05-17 16:00:00,1320,20
25084,2015-05-17 17:00:00,1340,20
25084,2015-05-17 18:00:00,1350,10
25084,2015-05-17 19:00:00,1365,15
25084,2015-05-17 20:00:00,1370,5
25084,2015-05-17 21:00:00,1380,10
25084,2015-05-17 22:00:00,1380,0
25084,2015-05-17 23:00:00,1385,5
25084,2015-05-18 00:00:00,1390,5
25084,2015-05-18 01:00:00,1395,5
25084,2015-05-18 02:00:00,1400,5
25084,2015-05-18 03:00:00,1405,5
25084,2015-05-18 04:00:00,1410,5
25084,2015-05-18 05:00:00,1405,-5
25084,2015-05-18 06:00:00,1410,5
25084,2015-05-18 07:00:00,1330,-80
25084,2015-05-18 08:00:00,1240,-90
25084,2015-05-18 09:00:00,1160,-80
25084,2015-05-18 10:00:00,1115,-45
25084,2015-05-18 11:00:00,1115,0
25084,2015-05-18 12:00:00,1120,5
25084,2015-05-18 13:00:00,1155,35
25084,2015-05-18 14:00:00,1205,50
25084,2015-05-18 15:00:00,1275,70
25084,2015-05-18 16:00:00,1350,75
25084,2015-05-18 17:00:00,1395,45
25084,2015-05-18 18:00:00,1410,15
25084,2015-05-18 19:00:00,1430,20
25084,2015-05-18 20:00:00,1440,10
25084,2015-05-18 21:00:00,1455,15
25084,2015-05-18 22:00:00,1465,10
25084,2015-05-18 23:00:00,1475,10
25084,2015-05-19 00:00:00,1485,10
25084,2015-05-19 01:00:00,1495,10
25084,2015-05-19 02:00:00,1500,5
25084,2015-05-19 03:00:00,1510,10
25084,2015-05-19 04:00:00,1520,10
25084,2015-05-19 05:00:00,1535,15
25084,2015-05-19 06:00:00,1535,0
25084,2015-05-19 07:00:00,1535,0
25084,2015-05-19 08:00:00,1515,-20
25084,2015-05-19 09:00:00,1495,-20
25084,2015-05-19 10:00:00,1480,-15
25084,2015-05-19 11:00:00,1460,-20
25084,2015-05-19 12:00:00,1465,5
25084,2015-05-19 13:00:00,1510,45
25084,2015-05-19 14:00:00,1545,35
25084,2015-05-19 15:00:00,1600,55
25084,2015-05-19 16:00:00,1655,55
25084,2015-05-19 17:00:00,1695,40
25084,2015-05-19 18:00:00,1715,20
25084,2015-05-19 19:00:00,1725,10
25084,2015-05-19 20:00:00,1740,15
25084,2015-05-19 21:00:00,1750,10
25084,2015-05-19 22:00:00,1755,5
25084,2015-05-19 23:00:00,1765,10
25084,2015-05-20 00:00:00,1785,20
25084,2015-05-20 01:00:00,1785,0
25084,2015-05-20 02:00:00,1800,15
25084,2015-05-20 03:00:00,1810,10
25084,2015-05-20 04:00:00,1810,0
25084,2015-05-20 05:00:00,1820,10
25084,2015-05-20 06:00:00,1815,-5
25084,2015-05-20 07:00:00,1795,-20
25084,2015-05-20 08:00:00,1750,-45
25084,2015-05-20 09:00:00,1710,-40
25084,2015-05-20 10:00:00,1680,-30
25084,2015-05-20 11:00:00,1690,10
25084,2015-05-20 12:00:00,1740,50
25084,2015-05-20 13:00:00,1765,25
25084,2015-05-20 14:00:00,1810,45
25084,2015-05-20 15:00:00,1855,45
25084,2015-05-20 16:00:00,1905,50
25084,2015-05-20 17:00:00,1945,40
25084,2015-05-20 18:00:00,1960,15
25084,2015-05-20 19:00:00,1975,15
25084,2015-05-20 20:00:00,1985,10
25084,2015-05-20 21:00:00,1990,5
25084,2015-05-20 22:00:00,2005,15
25084,2015-05-20 23:00:00,2015,10
25084,2015-05-21 00:00:00,2020,5
25084,2015-05-21 01:00:00,2030,10
25084,2015-05-21 02:00:00,2045,15
25084,2015-05-21 03:00:00,2055,10
25084,2015-05-21 04:00:00,2060,5
25084,2015-05-21 05:00:00,2085,25
25084,2015-05-21 06:00:00,2090,5
25084,2015-05-21 07:00:00,2090,0
25084,2015-05-21 08:00:00,2060,-30
25084,2015-05-21 09:00:00,2045,-15
25084,2015-05-21 10:00:00,2055,10
