sensor_id,gap_corr_sum Week1,gap_corr_sum Week10,gap_corr_sum Week11,gap_corr_sum Week12,gap_corr_sum Week13,gap_corr_sum Week14,gap_corr_sum Week15,gap_corr_sum Week2,gap_corr_sum Week3,gap_corr_sum Week4,gap_corr_sum Week5,gap_corr_sum Week6,gap_corr_sum Week7,gap_corr_sum Week8,gap_corr_sum Week9,gap_corr_sum_square Week1,gap_corr_sum_square Week10,gap_corr_sum_square Week11,gap_corr_sum_square Week12,gap_corr_sum_square Week13,gap_corr_sum_square Week14,gap_corr_sum_square Week15,gap_corr_sum_square Week2,gap_corr_sum_square Week3,gap_corr_sum_square Week4,gap_corr_sum_square Week5,gap_corr_sum_square Week6,gap_corr_sum_square Week7,gap_corr_sum_square Week8,gap_corr_sum_square Week9,raw_corr_sum Week1,raw_corr_sum Week10,raw_corr_sum Week11,raw_corr_sum Week12,raw_corr_sum Week13,raw_corr_sum Week14,raw_corr_sum Week15,raw_corr_sum Week2,raw_corr_sum Week3,raw_corr_sum Week4,raw_corr_sum Week5,raw_corr_sum Week6,raw_corr_sum Week7,raw_corr_sum Week8,raw_corr_sum Week9,raw_corr_sum_square Week1,raw_corr_sum_square Week10,raw_corr_sum_square Week11,raw_corr_sum_square Week12,raw_corr_sum_square Week13,raw_corr_sum_square Week14,raw_corr_sum_square Week15,raw_corr_sum_square Week2,raw_corr_sum_square Week3,raw_corr_sum_square Week4,raw_corr_sum_square Week5,raw_corr_sum_square Week6,raw_corr_sum_square Week7,raw_corr_sum_square Week8,raw_corr_sum_square Week9
25900,,304.0772,315.7482,237.6114,333.3917,,,,80.9188,148.7934,,,,,134.9635,,187.0975,200.9781,118.2073,232.9262,,,,27.7172,59.3008,,,,,41.1292,,12.9988,265.5791,223.7155,-37.5213,,,,336.6416,393.848,,,,,253.8441,,154.7467,163.4831,163.8947,92.9656,,,,340.1097,436.4524,,,,,287.9102
25909,,326.976,305.2435,364.8162,387.7476,359.2906,357.2905,,110.6253,235.897,241.8512,271.7834,221.5255,297.0637,246.2021,,215.9685,188.5787,271.5271,309.626,266.2767,294.1416,,44.8872,137.1785,127.296,161.2177,110.4946,187.5849,127.8209,,102.6014,105.1865,188.3768,301.8799,201.9333,312.4245,,337.0807,393.7727,418.2133,-173.6199,259.6438,277.785,256.2972,,150.4993,136.1074,110.8023,201.3468,129.1333,237.2949,,340.7127,440.3527,464.9593,234.6803,379.1026,342.7278,283.1572
25910,,258.8747,261.0967,351.9783,375.7228,330.9487,345.0038,,99.9728,127.3176,167.9467,267.4096,215.0738,273.4984,157.5258,,136.7661,138.5185,253.3593,291.2263,227.2023,273.938,,37.1966,43.5429,63.3868,154.8954,102.9671,158.35,55.719,,12.0985,93.3185,251.1796,312.9428,140.3866,265.8629,,336.6752,394.2848,416.4949,-159.6118,258.7754,282.9647,253.7299,,151.9693,132.6927,150.7827,217.0617,97.2385,175.9403,,341.1023,440.5991,462.6748,208.6094,379.217,345.1907,263.9384
25912,,176.2429,172.4825,220.3972,323.5622,290.6022,330.2816,,119.7456,116.872,152.1667,250.1605,196.3103,247.1899,92.7923,,64.3958,61.638,99.5009,217.5456,177.2175,251.9522,,48.9385,32.8283,52.4017,137.433,86.1155,129.7281,22.6963,,126.5096,137.5611,258.9816,263.6926,191.4475,262.9596,,336.9727,393.5723,417.0824,-170.7281,259.6305,277.6998,227.0496,,48.3626,91.1645,201.3359,198.4592,94.5671,174.3262,,340.6616,438.4163,460.9025,228.4212,381.4815,333.6746,200.0183
25915,,369.9711,361.6832,,,,,,148.5134,245.6012,296.274,271.8016,283.6201,331.3854,240.8587,,274.7123,263.4149,,,,,,76.5315,140.3495,190.2485,160.1393,177.8731,231.9056,120.865,,277.4688,304.4453,,,,,,336.2075,397.0566,418.0416,-145.2435,255.9964,201.5235,-184.5548,,209.9297,212.1658,,,,,,339.0429,438.3783,462.8179,184.2993,377.0681,119.2248,207.52
25916,,370.4685,370.3908,,,,,,90.889,104.32,232.9901,242.0567,266.0243,337.1843,323.9223,,275.3899,275.3388,,,,,,28.818,30.3226,117.8719,127.3857,157.2058,240.0528,217.8867,,241.6007,271.5227,,,,,,334.7746,395.1088,417.2089,-151.1989,263.1733,177.8172,-184.4098,,178.9871,197.5565,,,,,,336.0715,438.6509,460.3129,192.0727,373.0866,101.3712,202.1023
25918,,341.4238,326.5007,,,,,,133.4753,207.1544,286.8066,265.1762,268.5006,308.7218,295.8139,,233.2971,212.7535,,,,,,63.2239,103.3917,177.8573,150.8388,158.9348,200.5539,180.1175,,7.6903,251.8038,,,,,,337.3132,395.6308,419.0711,-83.7136,260.1494,283.1795,288.861,,158.3441,153.7569,,,,,,341.3459,442.0495,465.2533,106.0059,380.7044,342.5909,252.9535
25921,,365.397,379.1162,389.7422,397.1139,409.443,,,156.6683,276.468,296.6932,308.2239,306.8599,337.5351,345.3135,,271.0025,289.1905,310.505,325.7744,343.6048,,,83.3722,175.6833,191.6327,206.3531,211.3285,243.4866,249.4516,,276.0803,-24.1042,368.099,354.0221,371.2134,,,337.559,397.6152,419.48,328.4599,264.4848,301.6391,316.091,,199.7262,123.9429,297.6513,288.6095,299.8506,,,341.8369,441.6754,461.4404,414.1439,369.2128,347.9252,284.9987
25922,,374.7521,384.6091,385.4026,390.6986,404.7052,364.9843,,134.4814,275.5239,306.4251,290.0479,284.9117,324.862,348.4296,,281.9438,295.5633,304.1307,316.0722,336.163,306.7084,,65.7501,180.4062,202.7449,182.1963,181.0631,223.9668,253.0608,,280.9846,56.8497,362.6836,351.3199,362.0482,312.4753,,337.3058,397.0821,411.0273,271.7239,93.6262,169.5348,225.6367,,199.1101,116.1453,285.6131,284.8673,295.5418,257.9056,,341.263,438.1918,438.0315,266.9471,46.9938,93.9048,144.4589
25924,,359.2369,375.4118,380.2458,380.9332,397.8625,345.5701,,127.1596,249.2515,,295.6225,191.4196,293.7801,313.5491,,259.9368,282.4696,295.4432,300.9632,325.493,275.793,,70.2079,155.0927,,189.6402,86.5192,185.1415,206.3045,,215.8193,12.1698,336.5763,340.6451,353.1203,300.1628,,325.8227,390.8955,,329.329,-204.4662,285.6919,-6.7679,,181.2884,114.7622,243.6592,262.0789,272.7961,244.0545,,318.1118,422.0785,,430.3703,306.5497,298.7112,107.6845
25927,,375.3323,385.0353,381.3334,389.6172,391.1493,,,,232.762,272.2649,300.1395,291.8444,338.3739,351.273,,285.9524,299.3059,297.4332,313.8586,314.3935,,,,135.9817,163.8887,198.6837,190.951,244.3892,259.5876,,280.4889,204.2015,368.1351,340.6146,352.6439,,,,393.4199,418.2169,283.463,234.263,145.4829,208.435,,208.2691,152.0701,309.2807,283.6356,276.7687,,,,442.0259,462.1067,356.5751,257.3214,81.0486,134.0541
25928,,355.5304,378.3668,370.9888,386.7277,393.957,,,,209.1466,228.8161,267.0136,299.4898,313.7382,329.5275,,256.7778,288.1272,282.2257,310.1635,319.0061,,,,112.8939,115.3648,154.0424,198.243,208.2618,226.2297,,251.392,298.205,344.9233,340.8735,345.0874,,,,394.6973,417.5212,166.8698,234.5299,212.3257,280.2491,,166.9732,208.3102,256.6462,279.6822,262.952,,,,446.6339,464.3576,120.8645,266.3277,138.531,201.7994
25930,,351.7618,309.7156,377.3161,390.3011,401.653,,,,,252.5429,286.8422,287.4564,316.207,319.7666,,249.2064,195.0794,291.5756,315.3285,330.6302,,,,,139.435,180.6105,184.5244,212.1952,213.1174,,245.1621,219.0829,356.7765,326.4708,343.1762,,,,,417.987,283.557,208.4164,144.8479,209.2393,,184.5657,130.1641,306.1825,274.6564,264.9244,,,,,464.2285,358.3043,198.9502,81.0795,127.8328
25933,,358.6249,354.9614,361.4093,362.0936,380.6664,340.1895,,110.4856,209.5217,255.8443,278.0605,273.2051,318.34,342.5167,,260.0785,252.1017,267.6171,272.0875,298.0676,267.4866,,42.7565,104.9425,143.0954,167.8545,166.4726,214.8706,244.0883,,286.8194,323.9311,173.8862,241.1123,311.1358,308.2187,,337.2826,397.1054,419.2962,331.5617,256.4373,277.1038,289.7559,,200.6597,235.4546,111.864,149.6252,222.8018,248.211,,341.3279,441.2014,463.3612,441.2027,369.9954,340.3351,305.2814
25934,,341.3248,362.4181,376.7188,387.1567,408.1839,367.5757,,105.728,212.2388,271.0577,203.6142,270.3715,336.1668,334.9736,,236.8386,267.0741,291.4733,309.6449,341.5593,310.6293,,41.3196,108.5256,160.0058,92.5224,166.0876,239.2913,232.0876,,275.3848,32.5416,366.9154,360.2773,370.7932,310.2196,,337.1638,396.83,418.5008,298.1617,42.6964,292.6811,314.1803,,209.8111,127.9539,298.2735,294.0611,303.4155,258.3367,,341.0993,441.3149,463.157,339.3674,40.2438,354.5512,304.6173
25936,,364.4546,361.4367,372.0551,372.5719,367.805,343.1752,,142.3315,282.4613,309.1796,169.6086,218.7128,346.5101,347.6066,,267.3426,261.6827,284.3669,287.1574,279.178,271.8577,,71.1657,186.356,207.0574,65.6473,110.1863,253.7798,250.592,,277.3542,128.2438,346.6621,354.2445,355.1548,289.4258,,337.501,397.2869,420.0335,-220.1786,-70.8792,301.9973,314.6321,,218.9701,129.1091,259.1094,276.5899,275.5424,235.538,,341.8274,442.681,465.7824,254.0946,87.5626,357.6402,305.6255
25939,,326.3219,350.0601,358.3206,373.8649,386.691,338.9385,,114.4843,248.9884,305.2106,261.1027,,299.1274,288.5222,,212.0928,245.9617,263.5918,289.6549,307.131,265.6908,,50.9037,144.8906,200.4495,148.1955,,186.7008,170.1971,,-20.8332,255.5677,338.2592,323.972,337.8371,315.7097,,335.2391,17.972,423.0539,299.4099,,259.8195,144.713,,134.2965,170.4426,282.0894,229.8636,249.7215,242.6041,,337.3041,26.2475,465.1301,428.0242,,172.6155,60.6415
25940,,301.429,335.1072,358.636,381.2564,393.905,347.5326,,,,,145.4401,,330.2505,233.9309,,183.117,225.098,264.1593,300.2867,318.0726,278.5444,,,,,47.8901,,227.9607,115.2203,,-30.9151,-30.2594,327.9512,247.8268,327.2866,311.6718,,,,,-181.1803,,318.855,-158.2326,,129.0096,102.8179,260.6338,148.9631,236.1252,237.1276,,,,,236.2977,,320.908,207.2248
25942,,331.6981,285.6981,270.6643,323.7322,367.8631,346.2185,,118.7542,251.517,276.0235,167.0424,,322.2066,315.6218,,219.4658,163.4545,154.8764,218.7593,277.8286,275.7954,,49.8721,143.8719,164.675,63.6514,,218.3803,206.1659,,-34.4223,145.7221,270.7471,273.396,307.0016,236.4653,,336.8717,282.0297,423.0837,297.4433,,321.7112,261.081,,142.0221,135.9026,227.4703,176.48,208.9528,152.4771,,340.407,253.9374,464.5192,423.9339,,275.7078,188.9268
25945,,367.1202,388.5222,377.4959,389.6764,401.9254,353.3788,,,264.9607,287.6784,283.6394,298.3761,332.3436,340.0102,,272.4682,303.7028,292.3897,313.2616,331.3855,287.4909,,,162.5304,180.7731,174.8975,201.2393,235.3729,243.6601,,249.7506,295.2363,358.3108,350.5405,363.6811,305.2243,,,395.9232,419.6313,300.4652,-194.7158,293.3799,127.7456,,185.2076,217.0929,299.9944,290.3189,296.8367,229.9764,,,440.8263,461.6275,428.9336,290.7494,283.818,103.0058
25946,,341.5728,385.7985,363.7708,380.1731,387.2354,356.2749,,,205.5909,204.4812,185.3749,250.8589,289.3868,301.6417,,234.8339,298.8056,271.1646,298.3075,308.1328,292.5929,,,100.1496,91.0378,74.8469,139.1139,177.0379,191.9962,,212.2539,296.6945,355.4851,331.5551,354.8567,315.5495,,,396.5504,415.7541,296.8529,250.8864,289.7696,128.4368,,148.4236,216.3883,292.8943,273.7109,284.8481,250.1588,,,437.8803,461.194,424.8646,374.5705,339.2297,82.8421
25948,,232.988,252.1732,322.1346,326.4804,378.3196,228.0292,,,276.5183,262.6289,232.3782,248.5818,279.3765,297.8639,,112.7385,130.3747,213.6445,221.5396,294.7909,119.968,,,177.5108,149.3335,117.9973,139.4202,166.7467,188.6779,,185.9886,260.8587,340.7969,339.6297,362.2757,165.2788,,,395.1965,417.204,295.065,-200.2352,298.7849,268.0543,,108.4015,160.8066,271.5433,275.931,289.977,95.4172,,,431.8128,457.2865,406.7438,300.0664,337.137,185.5519
25951,,376.653,376.4167,382.0218,377.2939,394.3579,357.8585,,,245.0385,289.1068,272.0473,277.8693,357.7022,361.2125,,286.3783,286.586,299.5493,295.2812,320.6122,295.7497,,,140.1191,181.5096,160.3245,175.6073,269.782,271.1852,,5.558,287.7586,317.5268,354.9331,362.3685,314.3628,,,397.2714,420.8588,295.373,234.7382,305.4551,320.4271,,152.5787,201.5339,232.0505,292.1924,288.0376,255.8589,,,436.959,462.4263,396.7735,369.4813,331.6586,262.9902
