sensor_id,nds_wt_CM_Sum,nds_wt_CM_Sum_Square,nds_wt_CM_Avg_Sum,nds_wt_CM_Avg_Sum_Square,nds_wt_CM_T2,nds_wt_CM_T2_Flag,nds_wt_T2,nds_wt_T2_Flag,nds_wt_PC1,nds_wt_PC2,nds_wt_PC3,nds_wt_PC4,nds_wt_PC5,nds_wt_PC6,nds_wt_PC7,nds_wt_PC8,nds_wt_PC9,nds_wt_PC10,nds_wt_PC_dist_2,nds_wt_PC_dist_3,nds_wt_PC_dist_5,nds_wt_PC_dist_7,nds_wt_PC_dist_10,nd_wt_CM_Sum,nd_wt_CM_Sum_Square,nd_wt_CM_Avg_Sum,nd_wt_CM_Avg_Sum_Square,nd_wt_CM_T2,nd_wt_CM_T2_Flag,nd_wt_T2,nd_wt_T2_Flag,nd_wt_PC1,nd_wt_PC2,nd_wt_PC3,nd_wt_PC4,nd_wt_PC5,nd_wt_PC6,nd_wt_PC7,nd_wt_PC8,nd_wt_PC9,nd_wt_PC10,nd_wt_PC_dist_2,nd_wt_PC_dist_3,nd_wt_PC_dist_5,nd_wt_PC_dist_7,nd_wt_PC_dist_10,nd_CM_Sum,nd_CM_Sum_Square,nd_CM_Avg_Sum,nd_CM_Avg_Sum_Square,nd_CM_T2,nd_CM_T2_Flag,nd_T2,nd_T2_Flag,nd_PC1,nd_PC2,nd_PC3,nd_PC4,nd_PC5,nd_PC6,nd_PC7,nd_PC8,nd_PC9,nd_PC10,nd_PC_dist_2,nd_PC_dist_3,nd_PC_dist_5,nd_PC_dist_7,nd_PC_dist_10,nw_CM_Sum,nw_CM_Sum_Square,nw_CM_Avg_Sum,nw_CM_Avg_Sum_Square,nw_CM_T2,nw_CM_T2_Flag,nw_T2,nw_T2_Flag,nw_PC1,nw_PC2,nw_PC3,nw_PC4,nw_PC5,nw_PC6,nw_PC7,nw_PC8,nw_PC9,nw_PC10,nw_PC_dist_2,nw_PC_dist_3,nw_PC_dist_5,nw_PC_dist_7,nw_PC_dist_10,grade_auto,grade
26014,196.260409209524,113.699637117615,0.531871027668087,0.308129097879716,7.2482,1,597.826209788257,1,10.4067929689478,-1.41002315974863,-3.1908491443898,-1.66409014401357,-2.17487353766943,1.0300748489361,3.71341799892569,0.753360410853854,0.124790054020134,-0.0968683523782607,2.92050721383132,3.03925166045244,3.03714577431011,3.19764688048702,3.20787050245075,186.05680346994,101.689777168679,0.504218979593334,0.275582051947641,7.4826,1,673.9614235064,1,404.99271278789,-335.222993983721,-66.097346384573,23.5821935888224,70.2534006461461,-130.67331633698,96.1946295411507,-90.3287745916233,-92.3335500247921,31.254975833661,2.51461994682291,2.51657361247511,2.57626974724218,2.69008046865995,2.76931241758676,112.274032420024,48.6955643071706,0.30426567051497,0.131966298935422,3.7272,0,721.731126268894,1,131.157553929696,149.186198268052,507.793596146128,19.8597074495577,229.222393479501,220.666259314393,147.363689983383,216.31239086685,129.596480240663,-14.7123794619673,0.682902221122318,1.86248991548352,2.02429715748019,2.17145689047158,2.31073812480494,237.044422447153,183.335339708488,0.642396808799873,0.496843739047393,0.3114,0,726.266638417854,1,-775.453840011907,446.055913962996,310.858265216284,-549.358008576349,438.518835510412,130.369815216567,-243.323140137635,137.640395581705,-163.567070187636,153.15305124361,0.611560381213035,0.652621598402815,0.81692159758547,0.841551505023888,0.862519293470172,tbd,tbd
26017,249.550590151189,177.255706555511,0.676288862198345,0.480367768443119,2.1731,0,497.323948672883,1,5.5838128142951,-1.7791574931731,-4.3896606327902,-0.0764105308160613,-0.761676529629483,-1.81443802224768,3.50167644884984,1.46071280717963,1.376882004642,0.307448477420829,1.62974233390553,2.02750713652487,1.97655362342974,2.23469074566537,2.3023847597416,243.283111283154,167.961743725793,0.659303824615593,0.455180877305672,1.5313,0,619.55243934177,1,192.252866271135,-265.900458378303,18.134526337395,21.0308077476164,61.827376647987,-136.21777309387,107.36052048101,-2.65793603660731,-127.018526704048,66.8348420509826,1.56943776109856,1.56076715984959,1.61333347326206,1.81528746902427,1.94525953794858,147.638990042692,78.0261521043265,0.400105664072336,0.211452986732592,1.5448,0,656.120515417949,1,-109.69793745323,1.98628579409048,506.798574269276,-53.3197017249145,149.070790834095,170.500991591046,145.782882337454,51.5834948417063,-33.3141340715485,35.2336400597769,0.377186457060775,1.7712017473879,1.85446978156669,1.96442553409941,1.96204551326034,246.312293613145,186.188040794572,0.66751299082153,0.504574636299653,0.4869,0,653.362690814456,1,-695.411807042351,118.840720804998,-50.0837749163636,-491.202324221729,371.57470823862,217.037166857146,-178.638089843987,143.019830759739,-6.22221063472914,-12.6761923896137,0.482288901065576,0.487379509244781,0.649606641350111,0.680220710984528,0.68859840890924,Good,Good
26018,286.553970789388,232.922392634072,0.776569026529507,0.631225996298298,0.1068,0,292.550024610338,1,-0.499272469274632,-1.68927691269029,-4.1495760199979,-0.629278746124252,0.947772341603953,2.41137568665864,1.97507573158397,0.667739352399624,0.448691309484945,-0.0644164940669961,0.489865824938099,1.24826740780476,1.2482468376216,1.49770965898887,1.51489626665512,280.900563665891,223.052880582075,0.761248140015965,0.604479351170935,0.1106,0,355.915393046201,1,49.8685991239446,-57.6261843799733,69.120676528459,-27.6056842122924,-4.35604323716681,-12.6943225918267,102.087088984741,-122.93097322526,-51.8595152720464,-11.0620823965954,0.364509440357628,0.488643580182934,0.513365185482466,0.712841282134231,0.962263542021401,190.360525281978,109.854103692051,0.515882182335983,0.297707598081438,0.95,0,375.717732178115,1,234.143006101504,95.217639400862,231.852485991199,-130.989556226942,32.5430002250488,20.1671423834963,100.767495794133,-38.9648837617341,-71.2094378427768,-113.02084926185,0.868961767452019,1.17158405941606,1.26076536939451,1.28112125403971,1.35174300243524,270.484218164223,248.743636474319,0.733019561420658,0.674101995865363,0.7487,0,387.290349982071,1,2155.47797257914,204.606495387835,43.2928560509049,-179.54126889707,93.5740327516316,135.444411837809,-79.553842488498,109.750806344802,-58.6099728945799,-19.8714510690294,1.48015044789272,1.4923168448409,1.50654320857036,1.51506139979191,1.51999121999347,Good,Good
26020,289.603926441954,237.377144119839,0.784834489002585,0.6432984935497,0.0853,0,333.621149393504,1,2.14124096509966,-2.08986332022581,-2.17085458588979,0.249402910660708,1.84388212442433,1.56694533196406,2.19360281543274,1.52624456021215,-0.017218677956397,-0.569076216405939,0.832073971152398,1.02360169012465,1.11110130582088,1.32153752667568,1.393121841203,281.010682676146,222.699841492713,0.761546565518011,0.603522605671309,0.1107,0,383.622722785355,1,106.309041572828,-149.28631616498,27.3958895671334,-42.6582765692708,26.067955820043,18.7122589991925,93.0472201777131,-62.3284073010705,-20.2707544269025,-31.9154343708119,0.876598212601155,0.880098215078276,0.924192514409867,1.03022514992079,1.08998287532872,191.279487178435,115.413691592726,0.518372593979498,0.312774231958606,0.4496,0,399.153420984715,1,48.1016185972148,65.7917137728367,300.842405737162,-85.7606814712913,149.156734212425,45.2079921526181,110.29208898861,-39.3981646292865,47.6247479995225,-64.8867997661745,0.280185844993198,1.06464505462434,1.2177573431135,1.25699124066738,1.28144151027341,275.870235453862,243.707510308744,0.747615814238108,0.660453957476272,0.5617,0,404.277480636195,1,299.827070736835,57.9587819427113,-38.5897279633651,-334.860651614103,117.346116357208,177.609325605771,-118.300257340156,92.0660408139595,0.882387004440615,59.6701231439004,0.208762085777065,0.212109523343574,0.325358441973602,0.35844756608764,0.367043077492578,Good,Good
26023,306.217536383786,268.667796976465,0.829857822178282,0.728097010776327,0.5629,0,236.595954420163,0,-3.96199821327029,-0.222729174869156,-1.75024895090186,-1.424625554984,0.117361000714241,0.579646617277113,0.304315883807244,-0.107319355297424,-0.527430241447278,-0.364425086377216,1.10354647699556,1.20094878734228,1.22603548888024,1.23436733793907,1.24795927974845,284.160156259645,231.471428478201,0.77008172428088,0.627293844114366,0.258,0,296.86571436858,1,-131.666757256186,15.453921830211,184.205553167726,51.1393295130096,83.3973654979443,65.0689584457438,54.6218419480643,-38.6754166527198,-12.1927235307875,-3.76270791129792,0.634096794753798,1.0778834028561,1.19002019428464,1.25740591049597,1.27455214097945,194.779706417026,124.094027673321,0.527858282972971,0.336298177976478,0.131,0,319.051615499785,1,-12.6857634365259,295.995628261544,-113.815269501901,89.0633680377407,-102.038955160535,-75.6864025569424,53.4628727070328,-111.547777047499,17.5644310414756,-38.3374176248016,1.01852157892938,1.08408296387841,1.18029512280357,1.19622146722252,1.25049406235466,273.805884056094,249.248340465243,0.742021366005674,0.675469757358381,0.734,0,338.25387511481,1,955.173572121554,476.339629597386,152.368500897544,-71.6850073036083,-98.994462434012,-88.6070990945103,64.0520298280507,70.7294231307577,65.7177369669669,-18.7051011794608,0.729667626502593,0.742974788673486,0.751584193188424,0.757687603929919,0.761966593727186,Good,Good
26024,304.81564379785,266.6862043416,0.826058655278728,0.722726841034147,0.4992,0,193.581871191355,0,-3.51163417369349,0.211675039131999,-1.33130384487421,-0.656305307111472,-0.802478563004772,-1.11872209770483,0.251118161716409,1.2441357293597,-0.262989815957335,-0.417489928385988,0.978335972550282,1.0415602848693,1.04753303635809,1.08812052957379,1.14682227961481,280.408074052103,226.164816668123,0.759913479815998,0.612912782298435,0.1436,0,377.701920970416,1,-327.135342847617,-3.39113952818572,227.887997101921,110.656872555894,168.850350797194,18.6559715195481,42.265888573061,70.5835096481412,3.24153941187367,9.93514838009155,1.56480131097442,1.89359359621286,2.15190651624794,2.161717397594,2.1921965514176,204.36750934787,141.925519245695,0.553841488747614,0.384622003375866,0.4282,0,413.111333558195,1,-424.446196057519,214.146320105657,-158.969703487548,112.351356879736,-113.207471104261,-79.6762835749688,17.859354510442,-162.112154758304,44.7257418334535,48.1195950417542,1.63438123793693,1.71226029895803,1.79931747564241,1.78228956799425,1.8602709543626,279.755978434475,238.016719755907,0.758146283020258,0.645031760856117,0.5005,0,424.46231788295,1,-572.482591360025,429.35333364873,-65.4885360617312,-99.4877716325378,-96.1763724214441,-90.9324021588143,97.6190401849898,75.1304018613152,197.298773819167,-27.6710144163292,0.489196768241215,0.495179920687265,0.506874317184397,0.516795805220027,0.538402595890819,Good,Good
26026,302.186550295867,263.692179349833,0.818933740639205,0.714612952167569,0.4188,0,177.966713350275,0,-4.54181702474661,0.428551077203449,-1.04560118025784,-0.0872675564059752,-0.127856858367313,-1.24034852056867,1.09425057002276,0.106441580472511,-0.793440721208541,0.197748461972609,1.26866094873546,1.29597727243587,1.25724666926128,1.32884397350337,1.34854919306913,279.750341481538,225.77198014928,0.758131006725034,0.611848184686396,0.1371,0,368.125867061883,1,-336.758216758423,35.6150936141707,256.099330717436,52.3990286164559,108.418485557962,17.4172470833708,41.7500891951283,66.4842154054407,-60.2505111686323,30.1471487557168,1.61972725064522,2.01646888064795,2.12504040116766,2.13453869641351,2.18595953255834,206.478885234894,145.950789569255,0.559563374620309,0.395530595038631,0.6449,0,388.172325555281,1,-512.593633351511,167.17570696731,-117.998519044535,124.988902312453,-125.052018610248,-121.392130960917,30.4565142191491,-66.0475659818757,81.9038961834166,57.321872788045,1.85356971705234,1.88524863707312,1.98234595528936,1.98507779551481,2.00818602315929,270.649739298458,215.838361631709,0.733468128180104,0.584927809300026,0.409,0,404.357695781835,1,-1366.36782388872,362.364621482982,-75.6080976063835,-97.3781001567748,-89.5353036778506,-38.5212347869012,144.533823571468,6.67544259880364,166.703369324214,-6.21072975524239,0.966365481154745,0.975506371331718,0.984801882619757,0.99324891311801,1.00158217366646,Good,Good
26029,306.72741093277,269.384609755462,0.831239596023766,0.730039592833231,0.5868,0,220.562578390948,0,-4.18963669607001,-0.319552572768262,-1.54495676531137,-0.755135770089684,0.762599850425859,1.39741302947904,0.672200106016706,-0.292679298514785,0.432168011429166,-0.228122990335562,1.1684957435369,1.23964276879258,1.23599289835308,1.29980026609569,1.31017500034917,299.734418131664,255.42898185791,0.812288396020769,0.692219463029567,1.2719,0,535.951782776111,1,-868.05407282606,-32.0131993654716,91.8038226454552,-67.0784703864,-31.9332277673267,-2.3268290605811,150.66589046256,-161.103856992175,33.3303468295584,-10.510164754291,4.15480186519027,4.14852846833124,4.22118690535013,4.27981022336157,4.3594256645922,242.974862839105,181.025904778228,0.658468462978604,0.490585107800077,3.0181,0,550.17525770162,1,-541.144355730502,224.281608984261,-83.7490816119984,-365.493539198667,-38.4274484462511,-22.0518528287946,-24.1671372273549,-35.2386039261504,12.5946868550044,-226.86419339217,2.01382521741031,2.02123128947161,2.38260614466525,2.3347015475612,2.4376802927023,288.059155907119,260.154685516026,0.780648118989483,0.705026248010912,1.0549,0,557.950209668082,1,2190.12359694789,656.266248852401,-543.470013433713,-37.9831678865985,-18.7406197809422,98.6969577784923,-3.41469051634632,37.7694649100964,-1.18483093172904,6.93004746292917,1.56298295194605,1.61941437333347,1.62801854131228,1.63441141575941,1.6372177423233,Good,Good
26030,302.693974890644,263.06433300626,0.820308875042395,0.71291147156168,0.3863,0,180.79251602662,0,-3.90408279778015,0.3003707547366,-1.42361984731105,0.422998285286374,0.637234822147161,-1.27241509396904,1.6635345072861,0.853878165947489,0.0789468443693986,-0.0162449697849824,1.08890953182075,1.15367888495653,1.13728144092447,1.26438888995654,1.2864887982735,290.531190902212,241.084557489483,0.787347400819003,0.653345684253341,0.5653,0,374.213683132629,1,-226.914434914717,49.5810651701695,138.719137713077,-53.2421543144354,44.2965121347858,-37.1236903540522,74.3168679600143,60.3604057998783,-57.0589598172568,25.9444147843182,1.11095855720653,1.28490289491027,1.34471535056843,1.40187607536786,1.46532876384479,234.543380920028,165.826563331486,0.63561891848246,0.449394480573133,1.5682,0,402.375760174675,1,1.04131742301188,92.0214536677082,30.8429338135219,-172.988472459392,-57.3411513558484,-75.4027623171418,66.6780029701418,23.5590167704703,19.996648277174,40.3406082487109,0.316375861685577,0.331527579781726,0.706251799659002,0.769056017772307,0.781030551683163,278.542601547755,255.823514202533,0.754857998774403,0.693288656375428,0.9456,0,399.880003140197,1,2251.72721244115,195.924351251756,-211.900224696914,-145.744365299349,58.2719515723259,160.949567059577,74.0180417579062,13.9585614210389,62.4737082665029,16.3959330518031,1.54514055924779,1.5643596774737,1.57617002111574,1.58574804509228,1.58892453145674,Good,Good
26032,307.828085421082,269.419780547572,0.834222453715669,0.730134906632988,0.5682,0,106.767584770311,0,-2.77147129278677,-1.34794927671399,-1.07297702970086,-0.430556953929723,1.68389409868345,2.02144203532745,1.40973383344332,-1.13359360294,-0.00112195339733629,0.431858722656825,0.857053114916103,0.9036201260122,0.992654575858483,1.18891177203005,1.23380519148997,300.03672943914,254.661199148556,0.813107667856747,0.690138751080097,1.2048,0,420.224523104913,1,-835.843827717649,-147.950727328712,-73.7827458725083,-88.597592788126,-21.6791621715639,87.3080304226791,188.172684674985,-245.808524297599,-12.1390093373736,-3.90631072184838,4.06006255048384,4.04668089763361,4.12618440981617,4.24211411469064,4.41114315696033,240.338767820204,175.802242870478,0.651324574038494,0.47642884246742,2.4252,0,442.296835334519,1,-521.471387315057,112.307935828456,-91.2605245570258,-368.013240432883,111.317530125811,168.393832618607,133.788097513164,-124.952765800039,79.0559378109741,-246.863636850864,1.83384359510334,1.84853315497217,2.27068075610931,2.33630730957054,2.50591508314993,288.250389978359,258.122673938756,0.781166368505038,0.699519441568446,0.9833,0,444.283832576468,1,2671.68569341384,291.515114357387,-798.420621241551,-141.978348751472,66.4486368829027,2.76105399919447,-156.655155871554,63.6035907932034,-4.49943599823843,18.1630106887536,1.83725645568635,1.93198630461053,1.94496893356855,1.95391966776584,1.95755736358814,Good,Good
