sensor_id,nds_wt_CM_Sum,nds_wt_CM_Sum_Square,nds_wt_CM_Avg_Sum,nds_wt_CM_Avg_Sum_Square,nds_wt_CM_T2,nds_wt_CM_T2_Flag,nds_wt_T2,nds_wt_T2_Flag,nds_wt_PC1,nds_wt_PC2,nds_wt_PC3,nds_wt_PC4,nds_wt_PC5,nds_wt_PC6,nds_wt_PC7,nds_wt_PC8,nds_wt_PC9,nds_wt_PC10,nds_wt_PC_dist_2,nds_wt_PC_dist_3,nds_wt_PC_dist_5,nds_wt_PC_dist_7,nds_wt_PC_dist_10,nd_wt_CM_Sum,nd_wt_CM_Sum_Square,nd_wt_CM_Avg_Sum,nd_wt_CM_Avg_Sum_Square,nd_wt_CM_T2,nd_wt_CM_T2_Flag,nd_wt_T2,nd_wt_T2_Flag,nd_wt_PC1,nd_wt_PC2,nd_wt_PC3,nd_wt_PC4,nd_wt_PC5,nd_wt_PC6,nd_wt_PC7,nd_wt_PC8,nd_wt_PC9,nd_wt_PC10,nd_wt_PC_dist_2,nd_wt_PC_dist_3,nd_wt_PC_dist_5,nd_wt_PC_dist_7,nd_wt_PC_dist_10,nd_CM_Sum,nd_CM_Sum_Square,nd_CM_Avg_Sum,nd_CM_Avg_Sum_Square,nd_CM_T2,nd_CM_T2_Flag,nd_T2,nd_T2_Flag,nd_PC1,nd_PC2,nd_PC3,nd_PC4,nd_PC5,nd_PC6,nd_PC7,nd_PC8,nd_PC9,nd_PC10,nd_PC_dist_2,nd_PC_dist_3,nd_PC_dist_5,nd_PC_dist_7,nd_PC_dist_10,nw_CM_Sum,nw_CM_Sum_Square,nw_CM_Avg_Sum,nw_CM_Avg_Sum_Square,nw_CM_T2,nw_CM_T2_Flag,nw_T2,nw_T2_Flag,nw_PC1,nw_PC2,nw_PC3,nw_PC4,nw_PC5,nw_PC6,nw_PC7,nw_PC8,nw_PC9,nw_PC10,nw_PC_dist_2,nw_PC_dist_3,nw_PC_dist_5,nw_PC_dist_7,nw_PC_dist_10,grade_auto,grade,T2_basic,T2_MVE,T2_MCD,T2_UCL
25993,321.5227155,280.5065017,0.803806789,0.701266254,0.5909,0,221.0796002,0,-4.737562128,0.541228327,-0.586047687,0.454846039,1.067804254,-0.489961986,-0.957685627,-0.013555329,0.059536475,-0.309935955,1.268204286,1.296371038,1.333837207,1.341456766,1.311079402,303.0931684,248.3432335,0.757732921,0.620858084,0.5034,0,224.9603664,0,-78.41536599,124.0637738,-136.3462835,11.31788057,0.270850268,-37.63859972,-29.71743455,32.48435598,35.36470608,5.975159303,0.684165659,0.93428215,0.927545189,0.954650735,0.983766185,232.6464168,163.3002762,0.581616042,0.40825069,0.2988,0,254.3527842,0,-159.0947851,219.2979934,-86.84347105,-201.4765459,27.4030919,50.72808215,-72.07831717,58.20946263,-66.17507229,8.117852658,0.950109983,1.031233828,1.214780615,1.223070431,1.247755328,263.0883152,199.8787551,0.657720788,0.499696888,0.7504,0,250.3223826,0,-1206.597,-243.8170291,377.8541945,111.6423161,-107.8902969,-50.02356334,-19.71972598,14.47068638,-39.31697214,-13.57629323,0.911074032,0.96367344,0.973578949,0.97689747,0.978918126,Good,Good,125.6740176,150.6943995,167.9782707,183.9586098
25994,316.8946824,267.5625848,0.792236706,0.668906462,0.2923,0,273.8669954,1,-0.115999549,-1.674773288,-2.630386032,-0.257110347,1.176067245,0.003361109,-2.091513962,0.487506402,0.948149613,-0.776671056,0.446492183,0.842018036,0.902622459,1.046164997,1.07602536,302.2077169,243.8552188,0.755519292,0.609638047,0.3833,0,104.8202963,0,297.8506668,59.75755597,-52.17005993,14.83509923,11.9348662,0.269836459,16.13857552,11.68202818,22.02327323,-6.380089713,1.4161144,1.437530044,1.427606591,1.431025234,1.440664299,236.4451881,169.9437498,0.59111297,0.424859374,0.4777,0,120.6306033,0,94.17790857,63.69004403,-229.47936,-60.59962084,17.63096132,45.87801698,11.61087534,41.1900947,6.664906224,-0.159434601,0.398701696,0.928263257,0.916254135,0.908815152,0.911287619,203.3130677,124.6680634,0.508282669,0.311670158,1.654,0,116.5804997,0,-1631.505807,203.52422,205.409951,38.60902422,-113.5799646,1.783288801,21.66788528,3.964134276,-9.675360531,-6.402846573,1.216866167,1.240023332,1.247017075,1.250300785,1.252200641,Good,Good,168.0468723,188.5054109,196.9957376,183.9586098
26000,321.2856233,278.2432863,0.803214058,0.695608216,0.5222,0,259.5318987,0,-3.068360166,-0.252809728,-0.229436786,1.675373087,0.361664588,-1.015229138,-0.500381425,0.177494469,-0.292690715,-0.895500943,0.818830589,0.833069555,0.952963155,0.983412794,0.990816089,282.7668748,218.1716938,0.706917187,0.545429235,0.0371,0,152.9355143,0,197.1692813,112.1946508,-10.73048481,91.52235044,-76.32074046,16.09884408,25.23998899,-61.61593433,3.815278378,30.70298296,1.057497996,1.059185231,1.185627074,1.194904153,1.240808978,238.6814349,173.0579918,0.596703587,0.43264498,0.5862,0,163.0905792,0,20.99483256,0.422513758,-208.0612574,-86.81732995,36.74972939,101.4092116,30.76526864,-37.44808235,11.047153,11.36761986,0.07364072,0.757975751,0.796844534,0.856959614,0.859984292,228.7245004,147.2295963,0.571811251,0.368073991,1.0873,0,173.4088484,0,-1394.596838,187.466451,98.41027351,90.07902173,-104.0414391,-30.42319958,9.042869874,-96.21419485,43.27738715,13.35325615,1.041450117,1.055654643,1.063864283,1.066841783,1.071435591,Good,Good,160.0297563,177.2199766,186.4450321,183.9586098
26002,310.1755932,255.7142739,0.775438983,0.639285685,0.1432,0,261.9573303,0,1.540053134,-2.464511962,-0.037363195,3.25774708,-1.023222166,-0.977853473,0.484403297,-0.152169418,-0.161740912,0.288886689,0.772917979,0.784248849,1.210128539,1.22390846,1.197582595,297.4428731,236.2462622,0.743607183,0.590615655,0.2323,0,162.8209853,0,281.6952506,21.98339643,-17.19953287,59.58148851,-22.37755392,38.27609676,8.880593139,-59.30006325,14.93703002,7.709790123,1.317129399,1.320196699,1.341256412,1.3548919,1.38911341,228.5271744,163.682617,0.571317936,0.409206542,0.3195,0,167.2389771,0,71.78361078,-26.51826296,-245.9899151,2.297324133,-0.822636212,43.36957272,-11.0762367,-52.0687459,28.38929198,17.7235579,0.268362676,0.933769984,0.894955588,0.886826863,0.902932026,96.17534137,79.55015797,0.240438353,0.198875395,3.7182,0,166.8660169,0,-1677.858714,291.4075642,46.09375858,85.46898318,-46.44955809,30.96613633,-20.79134056,-74.54756499,1.296659835,42.23950741,1.26040365,1.274948277,1.280874762,1.284444401,1.287981385,Good,Good,179.47234,191.2863097,210.6867048,183.9586098
26005,326.8765145,287.1679443,0.817191286,0.717919861,0.7761,0,119.6247385,0,-3.275970911,-1.631802274,-0.419018995,0.267084162,0.432047773,0.527018217,1.129723028,-0.5255662,0.815472304,-1.006205968,0.973388319,0.994027883,1.003561991,1.040144978,1.077120239,300.2801896,243.8383557,0.750700474,0.609595889,0.3846,0,176.2809659,0,-111.4827336,47.67183399,12.02682263,186.0015902,-90.51238159,-4.860208823,59.09313515,-20.63074682,-41.66984119,-0.2137197,0.565202345,0.568246943,1.109798883,1.14432133,1.168180472,245.5361678,175.4027762,0.61384042,0.43850694,0.6421,0,187.8293719,0,-16.85169596,-148.5341353,7.661774334,-155.1929858,-117.8446212,134.6608779,1.634553813,-14.87787701,-41.01959227,-3.490647992,0.524229151,0.542545939,0.853576099,0.950291784,0.952951309,260.0512555,224.7367728,0.650128139,0.561841932,1.5055,0,192.3507584,0,1018.93874,-51.36399992,-141.4466893,139.3637845,-158.5585039,62.71501633,30.63747188,-53.73560297,72.57795682,41.56320768,0.755092608,0.770829624,0.789224773,0.792976863,0.797686637,Good,Good,74.96362669,120.2057206,114.5143256,183.9586098
26006,317.9334368,274.9889192,0.794833592,0.687472298,0.4503,0,162.5796696,0,-5.68272404,-0.078410822,-0.683815385,0.320124905,0.832105793,0.530545456,-0.185359838,-1.515879282,1.0268893,-0.49537505,1.511529058,1.544622006,1.563446379,1.543618907,1.583666529,290.9465147,231.3807234,0.727366287,0.578451809,0.1459,0,263.3019783,0,-271.49493,148.5150263,50.15897457,186.9214093,-118.5225998,-20.16293977,-3.241979404,-0.815013665,-43.51288554,-9.039059033,1.442569058,1.462092378,1.774019289,1.778356302,1.796062887,234.4350957,163.5873168,0.586087739,0.408968292,0.3165,0,277.6256479,0,-193.7053695,-200.6039409,15.20161887,-225.6064083,-69.23519024,232.0730256,27.64806909,-36.6029175,-24.54780012,46.90006405,0.977926408,1.012269549,1.270133351,1.471702935,1.474084994,264.391725,219.3484745,0.660979313,0.548371186,1.2423,0,280.3366039,1,462.0837485,-179.6756017,-111.8767359,209.3628496,-235.1688373,-8.441920159,6.228372974,-68.87080582,98.37786554,12.39617403,0.366940927,0.380368809,0.448791789,0.450004302,0.459769214,Good,Good,93.84559381,130.7951764,138.2909709,183.9586098
26008,315.3517135,270.629962,0.788379284,0.676574905,0.352,0,126.4204846,0,-3.879784726,-0.639944838,0.751443477,2.011354436,0.006423099,-0.370347046,0.057926553,-0.520055468,1.941080216,-1.579661436,1.045815481,1.080260024,1.20909399,1.192334274,1.337900251,292.2496344,233.7117384,0.730624086,0.584279346,0.1815,0,275.7795223,1,-258.6679329,101.793981,-73.90287352,204.7143275,-114.2261558,70.09395725,-17.12159249,-119.3035944,-38.42690659,-42.78219055,1.295803204,1.341455449,1.715341908,1.749268483,1.859580598,243.2656046,174.7829084,0.608164012,0.436957271,0.6223,0,296.5231394,1,-131.4326838,-29.42237554,52.13998111,-194.1008123,-94.44946944,196.7451099,-19.14859783,-144.103203,20.09834587,83.52809966,0.472322939,0.523489591,0.902217669,1.106931148,1.233129284,261.4957432,225.940246,0.653739358,0.564850615,1.5685,0,292.7381115,1,1054.529044,-272.1646349,-31.35675704,163.4178087,-164.6044344,27.09875834,5.007372076,-188.8002056,36.47505212,66.02745129,0.806051215,0.815392028,0.83617766,0.838564221,0.853680229,Good,Good,89.57979096,138.5593587,134.8705124,183.9586098
26011,243.8526564,158.5867046,0.609631641,0.396466761,2.1901,0,430.2710896,1,8.098523513,-1.302920137,-1.478493502,-3.130922661,-1.438152348,1.895086248,0.790770202,-0.106607729,-1.197319698,-0.5899195,2.181591721,2.249058075,2.433956569,2.45307472,2.41780538,217.9184758,127.8670701,0.54479619,0.319667675,3.0014,0,474.1587301,1,347.3890463,-258.9366273,13.66575682,-74.94994808,-15.0335791,53.31379292,105.291835,26.8507833,70.73488305,-13.98903255,2.019734156,2.021702217,2.034845792,2.108882847,2.145718166,111.979472,49.09299675,0.27994868,0.122732492,3.803,0,511.1996919,1,354.4528145,-272.5736464,-89.94550124,310.138961,-88.21664933,0.713869277,-262.6790601,74.86657962,-143.1476988,-39.07258248,1.568050815,1.653177268,1.940336197,2.093355568,2.147929426,225.6117421,179.2249007,0.564029355,0.448062252,0.092,0,509.4587459,1,993.1979815,420.7334548,-250.5993207,77.64890784,154.2310717,238.5290955,-147.1137762,21.64425303,-23.82869929,82.16244477,0.79831919,0.828735659,0.841279052,0.869390664,0.873224378,Good,Good,316.2639231,3602.225179,4346.733362,183.9586098
26014,268.5157769,193.2163846,0.671289442,0.483040962,0.8146,0,343.0769143,1,7.677416534,-3.356808159,-1.086994087,-1.243397374,-0.361551764,2.103797691,0.754849267,-0.300574028,0.540035631,-1.538514138,2.22854199,2.279970902,2.306887141,2.343205767,2.32558709,243.0573938,158.7019536,0.607643485,0.396754884,1.3659,0,477.1801208,1,287.542739,-337.7556666,6.403793665,51.38605437,-11.40116014,11.78622852,102.5367783,-1.941244453,58.14769266,-67.00677783,2.067752512,2.06895419,2.065147734,2.121727504,2.168164187,135.551154,62.7276742,0.338877885,0.156819186,3.2081,0,558.0461924,1,488.9349922,-339.9441337,-0.394868181,99.8490872,-371.8602879,10.71718295,-210.0088322,57.31813857,-171.460648,-17.06421585,2.08832917,2.158463518,2.463389537,2.508495895,2.559177054,223.431298,199.4095085,0.558578245,0.498523771,0.5665,0,547.5529842,1,2893.675361,174.7810883,-111.3721172,287.3512212,68.62238771,418.5605192,-33.41337872,66.89816482,42.40261546,16.54424047,2.145564783,2.171129782,2.188937391,2.217146778,2.221292576,Good,Good,197.1542871,917.773148,217.9396447,183.9586098
26017,274.8766892,201.9842771,0.687191723,0.504960693,0.586,0,439.4295325,1,3.628506573,-3.33929959,-1.259211096,1.785926778,-0.584207138,3.592062626,0.231330675,-0.896552053,1.632458916,-0.481078849,1.311515506,1.373329718,1.464129833,1.726685802,1.756276264,248.5692019,165.6948844,0.621423005,0.414237211,1.0858,0,614.5648892,1,148.3655359,-256.7207319,26.52613722,93.79047071,21.28768208,29.29297457,117.6650554,-74.30140824,78.8512583,-125.6899992,1.382194092,1.388375947,1.446205044,1.552631736,1.737805399,149.7679523,76.79469039,0.374419881,0.191986726,2.2196,0,688.1705829,1,149.0497328,-351.968464,-72.26629439,301.7505255,-141.9703228,43.62602005,-236.7777677,-22.1388451,-139.0541223,27.84258962,1.340414937,1.409975513,1.77989374,1.919977019,1.962464274,225.2062884,163.9564053,0.563015721,0.409891013,0.2579,0,666.5008286,1,1112.572589,325.1953713,-470.4854544,214.0560355,93.54525294,315.1932702,-122.7429415,-115.4323833,7.133493025,157.4916383,0.857889135,0.936207023,0.955261535,0.990946848,1.003292256,Good,Good,280.435659,251.8080433,3146.319422,183.9586098
