sensor_id,D_C1,DN_PC1,DN_PC2,DN_PC3,DN_PC4,DN_PC5,DN_PC6,DN_PC7,DN_PC8,DN_PC9,DN_PC10,DN_PC_dist_2,DN_PC_dist_3,DN_PC_dist_5,DN_PC_dist_7,DN_PC_dist_10,DN_CM_Sum,DN_CM_Sum_Square,DN_CM_Sum_sd,DN_CM_Sum_Square_sd,DN_T2_Hourly,DN_T2_Hourly_Flag,T2_MDS,T2_MDS_Flag,T2_Growth,T2_Growth_Flag,WN_C1,WN_PC1,WN_PC2,WN_PC3,WN_PC4,WN_PC5,WN_PC6,WN_PC7,WN_PC8,WN_PC9,WN_PC10,WN_PC_dist_2,WN_PC_dist_3,WN_PC_dist_5,WN_PC_dist_7,WN_PC_dist_10,WN_CM_Sum,WN_CM_Sum_Square,WN_CM_Sum_sd,WN_CM_Sum_Square_sd,WN_T2_Hourly,DNT_CM_Sum,DNT_CM_Sum_Square,DNT_CM_Sum_sd,DNT_CM_Sum_Square_sd,WN_T2_Hourly_Flag,MDS_D1,MDS_D2,MDS_D3,MDS_D4,MDS_D5,MDS_D6,MDS_D7,RZ_MDS_D1,RZ_MDS_D2,RZ_MDS_D3,RZ_MDS_D4,RZ_MDS_D5,RZ_MDS_D6,RZ_MDS_D7,Growth_D1,Growth_D2,Growth_D3,Growth_D4,Growth_D5,Growth_D6,Growth_D7,RZ_Growth_D1,RZ_Growth_D2,RZ_Growth_D3,RZ_Growth_D4,RZ_Growth_D5,RZ_Growth_D6,RZ_Growth_D7
26115,3,-340.2264726,27.00287508,-105.0915402,-115.6439814,78.88783296,62.06037539,-9.97969028,-68.66378079,-11.20101644,49.73027986,1.196876516,1.294390054,1.332439769,1.318200786,1.337286921,181.7014034,120.6880806,-1.334564825,-2.109372128,214.6879315,0,1.289189164,0,1.190047,0,4,-1880.804932,-107.0320465,22.98213599,104.8498242,-68.65019692,-98.11145019,-3.978277064,-99.03097973,-1.169073953,16.46438173,1.39427004,1.409948018,1.417323985,1.422854604,1.426985415,261.329965,204.4011214,-0.1551801,-0.183413661,230.1732913,309.1599129,259.8335716,-0.252181125,-0.356632038,0,180,120,130,145,130,135,165,0.876837987,0.674490759,0.758802104,0.674490759,0.269796304,0.607041684,0.615839389,0,-5,5,0,0,-10,5,-0.786905886,-0.562075633,-0.786905886,-0.674490759,-0.539592608,-0.50586807,-0.539592608
26116,3,-364.0162283,18.98389942,130.1131504,-126.5454641,53.40544039,121.8371092,-56.99676415,-147.2565663,54.01578224,-52.99854349,1.278286537,1.402864822,1.426645377,1.465623992,1.555032171,268.75604,226.6568808,-0.154909893,-0.101557464,247.3779455,0,2.630895205,0,6.125996032,0,2,652.679309,-447.3991177,30.03685459,254.622506,28.35292326,-57.3432912,2.925827714,-149.3285224,74.88076283,-6.05600936,0.58565575,0.592623622,0.624745629,0.627825833,0.641260343,263.8458843,201.7511028,-0.119333847,-0.230873137,252.8505834,313.086014,265.5295636,-0.192935442,-0.261524848,0,220,145,170,195,180,185,225,1.416430595,1.124151266,1.433292864,1.423924937,0.944287063,1.281532443,1.319655834,35,60,50,35,75,40,85,0,0.899321013,0.224830253,0.112415127,1.483879671,1.180358829,1.618777823
26123,1,-356.3247025,-173.3007818,-96.20938835,88.84894403,118.0858275,-115.5284736,0.095104666,-2.694696849,-6.216518545,58.96378888,1.389530677,1.477926806,1.506586874,1.522157922,1.521254949,9.864659815,96.00904865,-3.663080226,-2.576971292,311.9218243,1,6.076495596,0,5.727274077,0,4,-2327.205719,141.1067566,-291.9383999,1.672806223,122.2158585,-104.0628499,26.60699768,8.364090258,-41.35946365,-27.73791161,1.725570427,1.758469428,1.766155268,1.772498446,1.775551388,244.9390137,182.4144003,-0.388714689,-0.577176292,312.9471741,306.3896434,251.7884226,-0.293985069,-0.490963599,1,115,80,170,180,185,190,245,0,-0.044966051,1.433292864,1.199094684,1.011736139,1.348981519,1.554261315,35,-15,15,0,-45,-40,20,0,-0.786905886,-0.562075633,-0.674490759,-1.753675975,-1.517604209,-0.134898152
26125,1,39.12889637,-303.2963476,201.649861,208.4746786,-45.89142276,-72.59594465,-6.539818254,92.75207614,17.1071346,69.37840617,1.072430956,1.327734203,1.472787337,1.458964235,1.498098066,266.756351,205.3877634,-0.182007163,-0.504548211,244.2155854,0,10.60864614,0,3.233932231,0,2,433.2104832,108.7669349,-327.5578421,68.73585855,255.3800355,-2.519694182,-73.71540889,128.4284999,32.21511988,-9.578687781,0.330578199,0.414523906,0.46073655,0.465233388,0.476549223,234.2747055,161.1396214,-0.540657355,-0.958188671,236.4635443,280.012355,210.5916856,-0.692023842,-1.17883427,0,85,75,125,140,175,230,250,-0.404694456,-0.134898152,0.674490759,0.599547342,0.876837987,1.888574127,1.612912686,85,50,40,25,50,10,50,1.124151266,0.674490759,0,-0.112415127,0.809388911,0.16862269,0.674490759
26129,2,-779.9516806,-290.7904459,-28.15792415,264.5086683,-28.43123863,-229.7273525,41.47880761,-6.789037671,23.36820013,-68.7585494,2.919092514,3.018852275,3.037245595,3.069107562,3.050675272,-3.739220714,99.00099774,-3.847422903,-2.52028216,271.3244889,0,29.44815877,1,5.594805754,0,4,-3190.159297,-67.292853,-592.9763808,-21.82264914,236.6476046,42.70169627,-1.524877601,95.36288676,-10.33083877,-128.8069952,2.361620009,2.428882246,2.442727033,2.449160741,2.455800169,240.4250345,177.3146569,-0.45302885,-0.668508163,309.0553099,301.2266818,242.6470741,-0.371895235,-0.643598637,1,130,130,240,275,310,350,370,0.202347228,0.854354962,2.613651693,2.62301962,2.697963038,3.507351949,3.020545575,20,5,-5,-20,-45,-25,-30,-0.33724538,-0.33724538,-1.011736139,-1.124151266,-1.753675975,-1.011736139,-1.483879671
26131,8,-1571.121046,-476.0008385,70.79044055,310.9261314,161.449466,-398.9295073,-126.2216867,-73.07697782,-7.984652908,-21.43553097,5.757009145,5.95588066,5.836354729,5.872027197,5.823582075,66.49142213,87.30157205,-2.895745572,-2.741953807,411.6227339,1,76.43290483,1,8.180430396,0,4,-3027.408153,-580.7107294,-889.2029566,177.0110363,460.9505865,-1.57453622,-100.8124761,16.61174557,-146.7400765,-221.4756473,2.281488471,2.401033308,2.436626446,2.444011607,2.455867157,233.6556855,170.9238908,-0.549477013,-0.782961104,422.0093117,297.5010644,239.8015974,-0.428115577,-0.691110167,1,175,210,450,410,470,485,480,0.809388911,2.293268582,6.15472818,4.646491899,4.856333468,5.328477,4.310875724,75,25,25,-40,-5,-30,-25,0.899321013,0.112415127,-0.33724538,-1.573811772,-0.674490759,-1.180358829,-1.348981519
26159,1,-319.719958,-277.1366748,27.1166624,97.2577489,67.90540115,-139.8577389,4.564222596,28.74647016,-19.66246225,-51.90814168,1.483799564,1.536777402,1.529386269,1.566730591,1.56643369,211.6604233,133.6276074,-0.928597871,-1.864204007,258.3961843,0,11.45140257,0,3.327930359,0,2,-987.3622842,20.119156,-310.513694,84.30683882,207.8853535,-72.8155575,-13.684725,90.19736486,23.07086644,-62.56626857,0.730916436,0.774752775,0.795123862,0.799096952,0.804742357,245.054501,179.5511206,-0.387069253,-0.628455086,260.7594229,294.3474122,234.07779,-0.475704845,-0.786681795,0,75,80,175,175,200,215,260,-0.539592608,-0.044966051,1.517604209,1.124151266,1.214083367,1.686226899,1.730215426,50,45,35,0,5,5,25,0.33724538,0.562075633,-0.112415127,-0.674490759,-0.404694456,0,0
26161,2,-570.5201437,-322.2762921,118.7081862,98.39657368,132.0850728,-197.3697705,29.01785307,89.84461424,-43.59861545,-110.1829074,2.297873251,2.41370476,2.38297766,2.422859485,2.451977044,195.3577875,122.1863954,-1.149510686,-2.080983221,364.7241391,1,23.7469351,0,6.180734481,0,2,-1040.349477,-111.4231499,-484.4156028,44.15124938,194.136908,-124.627394,-21.46386778,149.7397018,-1.65627102,-110.5558449,0.774385071,0.862884925,0.878294442,0.885659927,0.898007185,245.1485431,178.5137573,-0.385729362,-0.647033341,376.2097582,292.2029556,231.3792111,-0.508065141,-0.83174054,1,80,110,220,215,275,275,315,-0.472143532,0.494626557,2.276406313,1.723698608,2.225819506,2.49561581,2.375380501,95,45,45,15,0,0,15,1.348981519,0.562075633,0.112415127,-0.33724538,-0.539592608,-0.16862269,-0.269796304
26170,3,-490.3217945,774.5204617,-28.87151901,-180.6488568,-185.3803183,-190.5913442,140.3004068,197.2515517,-183.1795315,7.025111454,3.214653709,3.324261344,3.31039375,3.33008136,3.421205641,201.8118824,114.7464585,-1.062052909,-2.221949378,418.080625,1,57.69205667,1,5.039398366,0,4,-2172.353789,-650.0469508,559.3107711,-225.9843147,-75.48520097,109.5026524,279.1591689,177.5574427,-67.70203627,28.29665299,1.67823842,1.747844673,1.762212784,1.781056076,1.789581385,183.6276487,112.1633278,-1.262265235,-1.835310556,432.6177426,267.5813029,192.3936057,-0.879611005,-1.482691477,1,315,325,30,110,300,75,125,2.697963038,4.361706911,-0.927424794,0.149886835,2.563064886,-0.202347228,0.146628426,-10,-45,5,40,-10,-5,15,-1.011736139,-1.461396646,-0.786905886,0.224830253,-0.809388911,-0.33724538,-0.269796304
26171,10,-1156.862852,690.8300655,137.7640109,-300.6724475,-191.5234797,-205.926811,40.08093636,221.9635124,-156.6858902,-44.09951047,4.725253592,4.909405712,4.865363666,4.803002405,4.847771989,214.5421182,133.5808524,-0.889548767,-1.865089886,536.125555,1,81.95543858,1,5.174876292,0,4,-2366.525047,-1149.00611,283.9561269,-93.77300411,-98.90111091,86.54783833,311.9368177,227.0393073,-116.2703629,51.87981115,1.947039121,1.980221993,1.988824619,2.008718594,2.021259413,233.0352026,165.1757857,-0.558317514,-0.885904556,557.5390192,301.1811247,242.5777472,-0.372582701,-0.644756203,1,450,440,135,255,445,195,320,4.519088088,6.43014524,0.843113449,2.323245949,4.519088088,1.416430595,2.434031871,0,-50,10,35,0,0,15,-0.786905886,-1.573811772,-0.674490759,0.112415127,-0.539592608,-0.16862269,-0.269796304
26173,10,-1124.762133,380.9474729,221.3499812,-197.8252928,-271.9554917,-250.9791741,79.14432445,13.79803304,-31.83003892,102.1510946,4.164469712,4.378463631,4.355854101,4.345228054,4.320405603,208.0489018,135.888759,-0.977536668,-1.82136146,427.2914982,1,28.33402602,1,6.069448182,0,4,-2370.591788,-1042.289043,-11.54580449,46.63098498,86.13312444,98.0155278,207.1505171,37.64842307,-77.85094647,-51.72946246,1.916616194,1.938042783,1.945275148,1.957841219,1.962233063,253.8861598,193.5116266,-0.261237763,-0.378434833,433.9084223,320.970112,275.3270661,-0.073962763,-0.097933868,1,400,340,245,310,405,290,390,3.844597329,4.631503215,2.697963038,3.147623544,3.979495481,2.697963038,3.255151057,-15,-35,25,0,15,-15,50,-1.124151266,-1.236566392,-0.33724538,-0.674490759,-0.134898152,-0.674490759,0.674490759
26176,3,-214.9807338,513.7378148,188.2546122,-245.8893406,-59.06668018,-309.6229156,39.37932691,26.38077046,-73.70940411,-2.061650828,1.952984772,2.130784692,2.223054733,2.414724458,2.40689297,257.6634112,208.662337,-0.305223244,-0.442504128,303.7696199,1,33.97981235,1,3.535812248,0,2,309.2342298,-559.6670649,360.3727674,-65.93052403,67.62895103,-32.53703917,343.8140877,87.45727831,-148.3760603,1.896956068,0.473243506,0.549296867,0.555495585,0.6145686,0.629026852,211.2369087,136.9029913,-0.868894706,-1.392245174,316.902202,286.6641048,221.3987138,-0.591647552,-0.998387024,1,235,265,75,170,305,75,135,1.618777823,3.282521696,-0.16862269,1.049207848,2.630513962,-0.202347228,0.263931167,20,5,80,65,15,30,70,-0.33724538,-0.33724538,0.899321013,0.786905886,-0.134898152,0.843113449,1.214083367
26177,3,-627.0213216,282.9047908,32.16722942,-457.7519897,35.87545346,-204.9769087,-134.0727794,-18.95363153,-22.03713923,-9.322059372,2.412325221,2.496064705,2.875189169,2.927350526,2.902177482,257.3965299,189.1306336,-0.308839684,-0.8125757,363.7233102,1,21.48169878,0,2.517065717,0,3,-862.4223248,-706.6268622,309.1849072,247.1070097,-6.335133472,-111.9083577,205.5860201,-8.654426838,-184.9618899,-26.76013869,0.825188182,0.865894148,0.888103994,0.907623976,0.919849845,227.718948,158.6725755,-0.634062314,-1.00237127,352.4304455,294.2525235,237.1395854,-0.477136735,-0.735558347,1,250,275,145,210,305,130,200,1.821125051,3.462385899,1.011736139,1.64875519,2.630513962,0.539592608,1.026398982,30,0,30,30,45,20,40,-0.112415127,-0.449660506,-0.224830253,0,0.674490759,0.50586807,0.404694456
26179,1,22.94143171,232.5200655,113.1871342,23.96326844,57.76639614,-98.24860366,145.0755731,90.45309164,199.750996,-9.777488996,0.819373191,0.941030416,0.927671242,1.08321563,1.302224688,252.9440457,185.6119025,-0.36917415,-0.879245889,551.0793457,1,36.11253666,1,42.52634552,1,2,-331.0136364,-23.49094041,20.82005546,-165.5421138,-49.25854678,-60.35401649,59.94676694,32.29001073,-73.39650559,-41.09880263,0.24560534,0.248836897,0.281250944,0.289143131,0.297430926,199.2466402,119.2835008,-1.039729355,-1.707794586,552.0366532,268.0976608,193.4036596,-0.871819058,-1.465826391,1,135,125,5,100,130,245,100,0.269796304,0.764422861,-1.348981519,0,0.269796304,2.090921354,-0.146628426,60,-10,30,60,-5,140,-100,0.562075633,-0.674490759,-0.224830253,0.674490759,-0.674490759,4.552812626,-3.372453797
26182,10,-1339.462569,280.883768,300.3747292,-191.6668679,-49.33417245,-21.45885658,-24.37753857,-6.395208732,-15.03618245,18.83563654,4.799467185,5.078723149,4.91571115,4.800428794,4.756913424,262.8804744,189.5776517,-0.234528166,-0.804105948,288.6044232,1,27.07980677,0,5.239147059,0,3,-984.0860053,-1201.021283,-153.7126186,-5.219742821,14.13652978,-39.51336916,196.2532294,-21.99493899,-30.45866473,72.041516,1.149181466,1.167697293,1.171272089,1.183880697,1.187227631,267.8435219,211.6249916,-0.062376405,-0.054040565,293.4290797,319.182033,273.843733,-0.100945246,-0.122701396,1,460,365,255,335,395,325,360,4.65398624,5.081163721,2.866585728,3.522340633,3.844597329,3.17010657,2.903242834,80,-10,70,35,10,5,55,1.011736139,-0.674490759,0.674490759,0.112415127,-0.269796304,0,0.809388911
26183,3,-279.5524625,285.7033469,330.780243,-258.3001505,-28.8142806,81.20306794,-30.6990103,19.30189371,42.96084915,13.24872211,1.401759254,1.880589726,2.015827185,1.989934896,1.978432711,266.5235497,230.5257627,-0.185161793,-0.02825289,213.4958119,0,14.97956692,0,2.549619748,0,1,1564.398089,-636.0391112,68.83946377,-74.47030712,-108.7185144,-119.8119109,114.5620781,-42.178163,-34.36706297,82.745126,1.249876833,1.264886724,1.272550282,1.281876644,1.28595727,252.5634595,184.7685386,-0.280083299,-0.535015767,215.7955668,306.5998618,254.2784062,-0.290812829,-0.449387815,0,310,255,110,175,225,185,210,2.630513962,3.102657494,0.421556725,1.124151266,1.551328747,1.281532443,1.143701723,95,40,90,95,55,35,70,1.348981519,0.449660506,1.124151266,1.461396646,0.944287063,1.011736139,1.214083367
26185,3,-350.4479325,255.6336194,223.3693813,-185.2586652,-24.97397284,4.288932119,54.08278388,13.30730983,43.16851639,23.86672199,1.521191857,1.768491913,1.815044526,1.78153863,1.773443995,277.0096736,229.7465781,-0.043067032,-0.043016276,298.7517652,1,14.22434036,0,4.299137397,0,2,259.7153411,-534.5030128,83.49544736,-45.00812232,-84.01254714,-80.92854384,97.73151733,-6.9156325,-41.75910146,2.389491703,0.439822971,0.449103836,0.456103662,0.467129837,0.468916802,260.4143986,197.0493963,-0.168224885,-0.315076522,294.1157015,314.9050654,266.8162564,-0.165485578,-0.240040666,1,270,225,90,185,250,185,210,2.090921354,2.563064886,0.084311345,1.274038101,1.888574127,1.281532443,1.143701723,95,25,40,85,50,10,50,1.348981519,0.112415127,0,1.236566392,0.809388911,0.16862269,0.674490759
26194,2,-778.9612539,-284.5365955,-10.35017787,-129.411814,11.35788551,201.4143327,-1.138548202,-24.45924719,44.66369256,64.26570457,2.908240823,3.006144483,2.91618692,2.927848931,2.91391292,220.1902485,142.4087632,-0.813012409,-1.697825476,232.0285294,0,12.31174128,0,4.735466301,0,4,-1192.288829,-328.6966033,-410.9189107,234.2232527,-173.3750624,-10.41759574,-88.80551222,-128.7994148,29.59436232,45.40061215,0.915354145,0.975328979,1.002426829,1.007230588,1.014216459,252.1088894,192.0083372,-0.286559912,-0.40535741,227.1423408,307.1398026,256.8894462,-0.282665011,-0.405790725,0,245,135,200,225,155,235,305,1.753675975,0.944287063,1.939160933,1.873585443,0.607041684,1.956023202,2.25807776,-15,30,15,-5,35,10,-10,-1.124151266,0.224830253,-0.562075633,-0.786905886,0.404694456,0.16862269,-0.944287063
26543,1,670.0812425,-90.40261883,-55.37775344,56.29617602,101.2315245,84.66030534,-161.2587313,180.2217334,-291.3613174,74.1020838,2.371166284,2.459004914,2.390788823,2.414454006,2.666424297,182.3432696,172.1872886,-1.325867061,-1.133605066,268.790551,0,21.19048368,0,31.9472446,1,1,1067.706404,380.3697841,334.0154932,130.4320374,-23.89424835,-24.59811718,-347.6844163,126.2140008,-12.31233927,-16.37363029,0.838876867,0.884312324,0.892545754,0.932472899,0.938823595,-7.910572901,16.30950481,-3.991258756,-3.551967323,273.3529952,49.01275828,13.34578552,-4.177855843,-4.47229097,0,5,25,35,-70,5,5,55,-1.483879671,-1.034219165,-0.843113449,-2.548076202,-1.416430595,-1.146634291,-0.674490759,190,30,5,50,120,10,50,3.484868924,0.224830253,-0.786905886,0.449660506,2.697963038,0.16862269,0.674490759
