sensor_id,nds_wt_CM_Sum,nds_wt_CM_Sum_Square,nds_wt_CM_Avg_Sum,nds_wt_CM_Avg_Sum_Square,nds_wt_CM_T2,nds_wt_CM_T2_Flag,nds_wt_PC1,nds_wt_PC2,nds_wt_PC3,nds_wt_PC4,nds_wt_PC5,nds_wt_PC6,nds_wt_PC7,nds_wt_PC8,nds_wt_PC9,nds_wt_PC10,nds_wt_PC_dist_2,nds_wt_PC_dist_3,nds_wt_PC_dist_5,nds_wt_PC_dist_7,nds_wt_PC_dist_10,nd_wt_CM_Sum,nd_wt_CM_Sum_Square,nd_wt_CM_Avg_Sum,nd_wt_CM_Avg_Sum_Square,nd_wt_CM_T2,nd_wt_CM_T2_Flag,nd_wt_PC1,nd_wt_PC2,nd_wt_PC3,nd_wt_PC4,nd_wt_PC5,nd_wt_PC6,nd_wt_PC7,nd_wt_PC8,nd_wt_PC9,nd_wt_PC10,nd_wt_PC_dist_2,nd_wt_PC_dist_3,nd_wt_PC_dist_5,nd_wt_PC_dist_7,nd_wt_PC_dist_10,nd_CM_Sum,nd_CM_Sum_Square,nd_CM_Avg_Sum,nd_CM_Avg_Sum_Square,nd_CM_T2,nd_CM_T2_Flag,nd_PC1,nd_PC2,nd_PC3,nd_PC4,nd_PC5,nd_PC6,nd_PC7,nd_PC8,nd_PC9,nd_PC10,nd_PC_dist_2,nd_PC_dist_3,nd_PC_dist_5,nd_PC_dist_7,nd_PC_dist_10,nw_CM_Sum,nw_CM_Sum_Square,nw_CM_Avg_Sum,nw_CM_Avg_Sum_Square,nw_CM_T2,nw_CM_T2_Flag,nw_PC1,nw_PC2,nw_PC3,nw_PC4,nw_PC5,nw_PC6,nw_PC7,nw_PC8,nw_PC9,nw_PC10,nw_PC_dist_2,nw_PC_dist_3,nw_PC_dist_5,nw_PC_dist_7,nw_PC_dist_10,grade_auto,grade
25102,223.581173491789,191.984034912829,0.755341802337125,0.648594712543341,0.9955,0,5.64277981077697,-1.46913363186425,0.210547554448599,-0.0142776461449023,-1.04370534139825,-0.449474390808534,-0.0145952356157341,0.015964852528119,0.871144534194417,0.0776432203892833,3.25655366133784,3.09343901774093,3.03378094809521,3.0225429947784,3.04196118713011,208.155155523759,173.637820171138,0.703226876769455,0.586614257334924,0.2715,0,14.1943078178458,343.534108910807,-16.7029262892392,-84.5457197651617,-3.11933383524465,18.1173093429995,-0.137518664658356,-6.33450880301761,-32.9734644839383,10.2570639763748,4.60208125054352,4.54915074102722,4.52204039663495,4.52035829317127,4.54966761885744,268.973247515757,249.138187732181,0.908693403769449,0.841683066662774,0.6524,0,750.46605308023,280.597922564931,168.942852556164,3.56408550478749,-41.9974618467809,-58.9240710593267,-94.5094222683769,30.289649364339,30.3170304888399,-18.1450227254713,4.50652023224449,4.55858184571662,4.65752990272118,4.68178827629352,4.68914124704285,277.395843770383,262.464178804299,0.937148120845889,0.886703306771282,1.3793,0,1423.45557789934,-531.400530520647,-64.6529101178606,34.5707941554292,-31.1637022220412,-47.7200113328258,-93.840629467775,-3.02185272377486,51.0274037333272,-67.712435852702,3.68663556073765,3.75453361331804,3.75743300755637,3.76162053184127,3.7643246380724,tbd,tbd
25104,212.028843345232,187.999249695612,0.716313659950108,0.635132600323013,0.8731,0,3.96040775689957,-3.36445104759552,-1.25883282723578,1.1211820293162,0.93301642719635,-0.0683151340428398,-0.323706875297155,-0.285068885588976,0.256679035906316,0.195805050502021,2.9022851964852,2.83480475344732,2.83669100049605,2.8231001715425,2.81940927822553,211.526535215197,186.325227659588,0.714616673024316,0.62947712047158,0.8099,0,-155.422891182307,244.894430419146,-91.2724607038025,32.4768695996213,3.95035231868814,-9.12177795169339,-15.641263216319,-2.87589606806451,-18.3649967653417,3.32936118896017,3.88229308274786,4.0184231495576,3.90142548275062,3.9017105585975,3.9153553183656,264.906739049648,239.671290605157,0.894955199492054,0.809700306098504,0.1653,0,434.110556511622,235.904457805192,152.851527315878,-85.4264486149354,59.1811487683189,33.1371362660802,-18.7209682336723,-14.1170815544525,47.3628880918567,-6.86447014770442,2.77896085342867,2.87920614055721,2.99653874646038,2.99249399099944,3.00575242564531,274.312759786081,255.767782737138,0.926732296574598,0.864080347084925,0.5563,0,1287.40613570728,-384.980382056986,53.237088968402,-120.495766865937,59.8978008086096,34.7135002888698,19.1613664596201,13.3441186960644,32.5931522461924,-31.0435453008898,3.26038148742196,3.32002971229835,3.33762291897861,3.3348068234503,3.33406062344002,Good,Good
25107,197.562399812372,171.380657551327,0.667440539906664,0.578988707943672,0.1978,0,2.74561964677912,-3.19943411638881,-2.49295881282054,1.12204033666817,0.987752987468803,0.462338454140332,-0.922793232001484,0.380049704075256,-0.446809596391271,0.244579131171896,2.35464571826086,2.59678184292661,2.62106216862354,2.65623112881956,2.66431328081526,196.783160336758,169.527862194311,0.664807974110669,0.572729264169971,0.164,0,66.0896191302294,52.9690301397391,-86.8258307779147,21.2987252955077,-8.60131201800405,-6.82967642944685,-20.1899819508358,14.084456081436,4.15316669644499,4.18524784494994,1.13365592052277,1.60294348349353,1.57484409907952,1.59546658048924,1.60983854669134,270.254915082946,249.634277962303,0.91302336176671,0.843359047169942,0.5239,0,218.280660268309,223.820096257227,16.0264801596702,63.1493090821512,43.2558108307604,20.9160743782301,14.5122777561372,-20.8324828286968,21.0014083214415,-9.60795861081747,1.75847548667579,1.74280302356884,1.83066378357758,1.82913328620028,1.83756138588997,277.521366413411,262.039185947729,0.93757218382909,0.88526752009368,1.2061,0,671.563875390448,-237.903837368769,128.196793440623,47.6808227581579,46.4325564698426,46.674351183002,24.2384905556333,-2.30069457574817,7.45902618166051,-4.42499239060685,1.72867725465157,1.78717072625305,1.79525334992183,1.7976532883288,1.79630470639756,Good,Good
25108,209.798057644121,167.020628027186,0.708777221770679,0.564258878470223,0.2873,0,6.0536338149401,-0.434371828081198,-0.208099310926098,-1.34631111876656,-0.798896442143547,0.517896289268899,0.0823083463636036,0.913604228089255,0.898225083867457,-0.217972564861941,3.38964663586524,3.2196594749134,3.20984010537557,3.19991382265742,3.25338908190375,208.754580035843,164.725520808217,0.70525195958055,0.556505137865598,0.3008,0,93.3427656120716,61.2859798676156,-17.3009274492337,-26.6080926751243,4.83638849230275,-6.37001850002643,9.20442073605394,17.7588375861563,-8.73940293764243,4.83915202280988,1.49460729903621,1.493284152213,1.48219762373061,1.48656600822031,1.51145362027165,265.759133222638,244.484338512388,0.897834909535941,0.825960603082392,0.4159,0,169.453931983404,-117.047225553204,-281.24016654922,27.1662674811756,61.4432575769671,-14.2446031179544,23.1225760343042,-22.4177406371558,4.92157063994565,-4.57332515296807,1.15838815625695,1.94064177734879,2.01658259047236,2.01450854833707,2.01883591135383,274.051662496027,257.474227151371,0.925850211135226,0.869845361997875,0.9692,0,705.434160967912,609.714803532956,158.197657789335,61.1411648140648,-14.7336448402427,59.0273773870125,-31.1301846849245,5.51073843232139,-2.87223153132099,11.308389506489,2.26236096790297,2.33484179486734,2.34070977562432,2.34351597420951,2.3417963626675,tbd,tbd
25110,107.541589238244,64.7347576243081,0.363316179858934,0.218698505487527,7.4807,1,6.76821349659272,3.07448618172968,1.7989639968069,-3.00209691625389,0.210298364174742,-1.28309003264649,0.908671665542,0.27269853530881,-0.426018679491557,0.720194321273386,4.15176929370067,4.05501050785826,4.20680045272936,4.25498357194401,4.26005900884279,105.25907248888,62.5932098648009,0.355604974624595,0.211463546840544,7.7527,1,130.12146424995,61.1430607184488,32.6183832689401,-25.6775126939843,30.4805550831867,25.1474970371101,14.6788579162476,6.22430513864206,12.2543331809355,4.90457448383807,1.92435407290282,1.94826631310756,1.94819935289727,1.97997344754577,1.99185120729369,253.449723320569,225.402897396601,0.856249065272192,0.761496274988517,0.0349,0,238.537094691585,-245.090285229007,-275.721098517096,51.1702859566574,23.7235667296147,-15.3441390154789,30.3969249288232,-4.43532909680698,-9.66156599179696,-13.6246649482484,1.92367507298304,2.44572130127388,2.5159874699843,2.51347179416591,2.51534822343594,263.436568294101,240.728529845833,0.889988406398989,0.813272060289977,0.0669,0,922.190402154113,751.579905397743,74.2166469226038,86.1764130320134,-30.6939169811326,48.9999657724842,-4.57239649959882,8.90273573383401,-21.6008946743879,18.6458302882661,2.88655679898073,2.94277148264372,2.95232195943613,2.95105953718631,2.94954228288438,Outlier,Outlier
25113,154.339210842946,98.1553861263547,0.521416252847789,0.331606034210658,4.2335,0,7.15833466789964,1.10570278171905,2.55691034074598,-3.4084462929213,0.618490038457863,-0.403513047478802,0.721024862451376,-0.253656085206977,-0.52257045897406,0.664038758584377,4.04534178130824,4.07246479103403,4.31281984123968,4.30507897949864,4.30978262030178,153.672218951345,96.5392122650793,0.519162901862651,0.326145987382025,4.4192,0,28.6936953469455,134.82927227201,88.2880607487934,-41.1607170951606,90.4541747036724,18.4450834333821,16.1281292387323,0.182987953003715,19.1994764649327,9.39552466644522,1.84508617194626,2.1633243568512,2.44298586524496,2.45877476422199,2.47774804791959,259.177674250062,234.119184809259,0.875600250844804,0.790943191923173,0.0423,0,403.952570477139,-462.669276812945,-302.324827074226,-44.6563070449838,31.470465582503,-31.5521758821668,45.117721936313,25.3984016516307,14.1770985587799,-19.3891959707649,3.45465869986018,3.81116846989747,3.90110810404882,3.89820855344948,3.90318477436233,268.444380284649,248.555281227849,0.906906690150842,0.839713787931922,0.3439,0,1471.16921569333,1083.68629269041,-23.7856453193819,-5.60115011696329,-56.5398536642204,60.3621115059378,-12.2417267254391,15.6875461588284,-50.8986555484513,-8.46117960603543,4.43347606958591,4.51142910575656,4.51498076856942,4.51178914011087,4.51002145518904,tbd,tbd
25114,211.6004067141,172.736060270875,0.714866238898987,0.583567771185389,0.2915,0,5.35151948296146,-2.11479961867747,1.87044642261509,0.644219903083256,1.76390414363656,-0.838494439130631,-0.530651442730617,-0.249925966808576,-0.0678108550980245,-0.158543295982918,3.21373596870333,3.20790609426031,3.24259747171765,3.26060290252877,3.25022447512395,211.807685795955,171.536830439903,0.715566506067416,0.579516319053727,0.3035,0,-36.1743693706801,133.681467474197,25.6106827457526,34.0773193598685,31.6611951044439,26.0081252832119,-16.5645797387821,-1.02454361124528,-4.80249953595653,-4.1347107623673,1.85366229638112,1.86121606782196,1.8921136549784,1.92933302826425,1.93414656757953,269.325220617016,249.051327301257,0.909882502084514,0.841389619261005,0.5669,0,449.49192005644,71.9657134236014,95.7170178050867,-28.4601567616801,-32.6070350698977,26.9963210174749,15.8925125145755,13.5885689864513,15.4246054566114,-26.9930515289552,2.56043616490827,2.58970592107642,2.65383227935377,2.64931505059512,2.65623531613491,276.548082530751,261.494456511726,0.934284062603888,0.883427217945021,1.3673,0,1401.32865379326,-265.600302562562,-49.6414088290811,-45.3732570517474,-5.76641772751657,-0.662657653897952,66.0038148679304,1.80560960021205,-14.0307217138175,-22.3591393577514,3.46065673461433,3.52333864527054,3.52621883616838,3.52548924823356,3.52318095294037,tbd,tbd
25116,181.106463037268,127.682633465398,0.611846158909688,0.431360248193912,1.6671,0,5.25930353422438,0.782323963216067,1.48572675643042,-1.27707992259088,0.86117127560454,0.425535733117168,-0.0532576206730416,0.793872521394871,-0.665159967666065,-0.468935556853958,2.96963957996719,2.92704079727229,2.93364806355075,2.92255132721036,2.96637034655653,179.959065882981,125.514674636491,0.607969817172234,0.424036062961117,1.811,0,83.5023036559583,61.9376013648105,23.8926187610948,-4.29718750622071,29.0370373671346,-1.49407631709302,-3.34963591264665,14.9650469254476,9.97877310349907,-6.30968270210028,1.39156914239372,1.40975852242351,1.41143733595741,1.40984701212952,1.43287780577092,263.118343995167,239.56183502787,0.888913324307997,0.809330523742804,0.1343,0,502.651569545183,18.4739379577713,74.0122240524441,29.033594588158,-22.0432459413979,-5.79095412195083,16.5943732742377,15.5548706077744,6.73057702563087,-8.83204938561274,2.82915103600368,2.83041174341997,2.8954390872983,2.88574801691661,2.88774490066725,271.064204196236,252.87537848699,0.915757446608905,0.854308711104696,0.6332,0,1339.78734072237,-235.632615647367,-115.089166115057,24.6267979278213,-10.7413475361178,13.1178073247765,25.2170222447289,5.01197715913139,-17.787114602727,-13.8183962693132,3.30069542194427,3.37044421217425,3.37212122358148,3.36855656397156,3.36625480097483,Good,Good
25119,220.365918629179,183.371326173216,0.744479454828307,0.619497723558161,0.596,0,4.82031550910868,-0.969635735752933,0.341005591217247,0.147253775135907,-0.265502480543949,1.15572670559791,-0.0456143654966961,0.278800495164899,-0.562247602821734,-0.375907454981329,2.74607303857369,2.61309039754052,2.52742837568872,2.57880650141387,2.59429521924916,218.746501446265,180.576863285788,0.739008450831976,0.610056970560093,0.5291,0,18.9044687690556,135.366908452544,1.93420481303788,-19.120869003986,0.48978606147714,-29.5547032978312,-9.32965863522178,14.3650658747671,18.0178389183389,-7.35797836695416,1.82945109869258,1.80646053212384,1.76078901433685,1.80160799736578,1.83067477014492,272.374893030598,254.138367753514,0.920185449427698,0.858575566734843,0.9869,0,365.869875970082,187.767968470124,72.5939519748211,-2.89321097220933,-30.7442491933911,-17.904185734201,-13.9858868356321,-1.63947305894894,41.3773448819042,1.90705219775839,2.31307834366824,2.32485410437272,2.37865343411997,2.37276869716647,2.38430986060655,278.71741564368,264.788513055063,0.941612890688107,0.894555787348187,1.6914,0,952.257436120928,-306.724389661916,33.6670933649196,3.18230812067592,-26.3519638060051,-0.959655874796624,3.62013405775896,1.99316568452809,16.8065806314264,-37.1039202931907,2.42741720052889,2.47128695500776,2.47290685351583,2.46977495769294,2.46978082409977,Good,Good
25120,223.982219711782,188.77850600159,0.756696688215478,0.637765222978346,0.825,0,5.22382444217479,-1.11243004271088,1.10226773583739,-0.711064362870199,-0.214115375745266,0.624242970009515,0.0809043375133695,0.141309928639079,-0.499663795061301,-0.231946021973942,2.98292530074383,2.8913462562447,2.81703096112788,2.81679583306165,2.81942837917779,222.883866781154,186.72417266861,0.752986036422818,0.630824907664222,0.768,0,-37.981266272735,177.393180917769,33.0518225231333,-38.9846170649333,28.5781348669913,-17.6060574553531,-3.17151361099671,9.92343607911728,20.5016712608007,-7.10823009486236,2.42819751207853,2.43690723797499,2.43185731237041,2.43845050024267,2.4612339072775,272.26236642983,254.445870012659,0.91980529199267,0.859614425718443,1.0973,0,709.262541470937,64.8892934041442,146.862100169319,-58.5131567698676,-21.5573710804538,-35.6265061993859,-15.0815591260472,15.1705132204184,26.948670730985,-6.23329653936369,4.00601876478969,4.04852782503154,4.14609526477006,4.13556113159175,4.13937066198884,278.407003758314,264.673144023654,0.940564201886195,0.894166027106941,1.7814,0,1717.55925067227,-364.809422292307,-162.200664652671,-54.0597155793114,-34.8318522397605,1.46455587951971,-23.1065080370721,-0.805522090429804,5.55377124775167,-37.2362205490266,4.26037872314071,4.35337730407752,4.35759522879336,4.35242059517413,4.3498159480537,Good,Good
