datetime,nds_wt_PC1,nds_wt_PC2,nds_wt_PC3,nds_wt_PC4,nds_wt_PC5,nds_wt_PC6,nds_wt_PC7,nds_wt_PC8,nds_wt_PC9,nds_wt_PC10,nd_wt_PC1,nd_wt_PC2,nd_wt_PC3,nd_wt_PC4,nd_wt_PC5,nd_wt_PC6,nd_wt_PC7,nd_wt_PC8,nd_wt_PC9,nd_wt_PC10,nd_PC1,nd_PC2,nd_PC3,nd_PC4,nd_PC5,nd_PC6,nd_PC7,nd_PC8,nd_PC9,nd_PC10,nw_PC1,nw_PC2,nw_PC3,nw_PC4,nw_PC5,nw_PC6,nw_PC7,nw_PC8,nw_PC9,nw_PC10
7/12/2015 10:00,0.093070313,0.029618073,0.034296649,-0.110896885,0.062422015,-0.088005029,-0.048522295,-0.035436705,-0.073947308,0.214208644,0.026228688,-0.134291439,-0.03141103,-0.032928134,0.049532606,-0.049895784,-0.107464668,0.075612287,-0.083921467,0.129753961,0.039034053,-0.016946555,0.05516212,0.072163043,-0.07726392,-0.077641119,-0.054176299,0.037827097,0.007061147,0.055722814,0.007796828,0.029126028,-0.006975795,-0.03192467,0.07878475,0.085589312,-0.013130913,0.108740799,-0.041039087,0.097907007
7/12/2015 11:00,0.113941139,0.039408122,0.043904788,-0.142418066,0.050997489,-0.068225752,0.032215079,-0.012197902,-0.009006705,0.255763254,0.062861981,-0.138402193,0.014239667,-0.075791891,0.073220183,-0.056069527,-0.071486285,0.137646415,-0.118385627,0.083865025,0.066895675,-0.036737667,0.024101866,0.101149418,-0.060733784,-0.106407073,-0.041018592,0.070106121,0.017163637,-0.019174484,0.009151558,0.071587292,0.001998632,-0.030289861,0.105252874,0.082876368,-0.028534353,0.168167796,-0.02109636,0.061111067
7/12/2015 12:00,0.121565058,0.069116782,0.054920889,-0.185076907,0.035008444,-0.067133927,0.076762917,0.006520518,0.016333943,0.229972563,0.096348926,-0.117222754,0.067860107,-0.116151545,0.099897401,-0.04259351,-0.045727965,0.185763957,-0.131598898,0.014044915,0.093826279,-0.066107064,-0.001845121,0.117648858,-0.021438468,-0.132415125,-0.03108642,0.099679094,0.013909392,-0.049228786,0.011019841,0.114521265,0.004420845,-0.022772187,0.120988002,0.058304318,-0.044897554,0.205338167,-0.022412708,0.008154893
7/12/2015 13:00,0.129121682,0.129604932,0.070551824,-0.189748437,0.000793383,-0.043634873,0.078351471,-0.021506981,0.070167249,0.157672998,0.127291511,-0.085065193,0.105559825,-0.162151693,0.143092777,0.003602181,-0.05530333,0.192116005,-0.124358757,-0.057074648,0.120017012,-0.088782809,-0.024360627,0.126461037,0.028769164,-0.162672269,-0.037186836,0.105626192,0.046295728,-0.041993192,0.013063717,0.153772442,0.01056591,-0.010412053,0.142893217,0.025751341,-0.055929336,0.208618734,-0.054539329,-0.027225144
7/12/2015 14:00,0.126861315,0.146180748,0.047832768,-0.18000163,-0.012932074,-0.046056367,0.073426359,-0.103577755,0.147686364,0.082575862,0.148910338,-0.044728329,0.145312894,-0.185591373,0.180965065,0.058327578,-0.066751549,0.166426637,-0.083113817,-0.111094735,0.138829,-0.11708822,-0.042039594,0.126242511,0.082601805,-0.179609146,-0.054483267,0.112295941,0.05746653,-0.002265787,0.014752707,0.184987643,0.009471659,0.013250643,0.150926115,-0.009857498,-0.076423815,0.193086028,-0.097455904,-0.070123905
7/12/2015 15:00,0.113615656,0.142221583,0.032523907,-0.158077471,-0.027838351,-0.109734651,0.067662202,-0.112515171,0.14852412,0.064289532,0.164459296,0.00254782,0.173093193,-0.178193689,0.205914095,0.096764517,-0.078501733,0.137065037,-0.015455785,-0.133239263,0.154409864,-0.144097515,-0.050920545,0.10658976,0.126307973,-0.185997823,-0.062191172,0.102770507,0.080880274,0.0188527,0.01669226,0.209326892,0.006292055,0.038464877,0.143058162,-0.046907228,-0.076305183,0.163125137,-0.128326475,-0.096151322
7/12/2015 16:00,0.097211834,0.13565509,0.020405827,-0.117251718,-0.018109242,-0.139514918,0.041713554,-0.113649075,0.134197028,0.050637113,0.162720896,0.036920637,0.191943186,-0.167805906,0.206907826,0.107079313,-0.110306962,0.091540259,0.046544172,-0.105619295,0.155282771,-0.16224285,-0.047448349,0.091329956,0.162458038,-0.17690434,-0.078553414,0.099736634,0.093451515,0.054310699,0.017255733,0.214451289,-0.002105186,0.060300122,0.134448341,-0.079818087,-0.088442202,0.12967492,-0.155537637,-0.109021812
7/12/2015 17:00,0.068661881,0.159394152,-0.000389202,-0.097949246,0.00755105,-0.140042973,0.020641663,-0.100964855,0.056674762,0.072134256,0.142496753,0.066989241,0.190303977,-0.148344728,0.190784453,0.085586827,-0.123805154,0.055414404,0.117651329,-0.048111091,0.142394945,-0.168608851,-0.02552384,0.063947855,0.186100293,-0.161634137,-0.077012942,0.085831838,0.102336526,0.049488773,0.017153049,0.198144151,-0.01469746,0.071549422,0.116800619,-0.115003899,-0.080253397,0.093634812,-0.163270029,-0.115489147
7/12/2015 18:00,0.045366476,0.153847198,-0.02650051,-0.071421322,0.028457032,-0.13682489,-0.005792385,-0.068758422,-0.024759498,0.067291031,0.113393876,0.074631456,0.156777441,-0.123197382,0.154069664,0.060335581,-0.106590831,0.032682695,0.161602647,0.017557525,0.123119388,-0.15822607,0.005481474,0.041087237,0.185131574,-0.139750861,-0.086680569,0.066442331,0.083716299,0.020181549,0.016881686,0.167452187,-0.023734637,0.071395688,0.099872437,-0.123976449,-0.071168593,0.054248647,-0.164941865,-0.099212889
7/12/2015 19:00,0.020632426,0.12120789,-0.034074809,-0.049323002,0.03625489,-0.112892222,0.008967206,-0.025517468,-0.095095864,0.051919226,0.075833913,0.071840667,0.125077335,-0.086741475,0.103816771,0.030894303,-0.062445274,0.024313096,0.164645743,0.074541161,0.099552042,-0.150747708,0.051301029,0.018312665,0.168474739,-0.113141269,-0.092993947,0.042092606,0.052321077,-0.034928045,0.017229107,0.127895732,-0.038675039,0.071108592,0.083296306,-0.122047161,-0.059957537,0.020200098,-0.143807697,-0.07969046
