source,target,value
12884,12890,0.61974458829492
12884,13343,0.735745011864038
12884,13355,0.136439726971708
12884,13580,0.478942337000565
12884,17221,0.795175763135304
12884,17222,0.782642109383737
12884,19767,0.570747404279384
12884,19768,0.60355989713822
12884,19769,0.508760936654217
12884,19794,0.340674449612387
12884,19795,-0.00457990686328637
12884,19796,0.672020604717566
12884,19861,0.585037771953355
12884,19862,0.649016927988204
12884,19866,0.758778512135289
12884,19867,0.621043751859535
12884,19868,0.748189799790256
12884,19870,0.597786978924346
12884,20330,0.65798709390845
12884,20332,0.737569105070633
12884,20339,0.748342546435091
12884,20340,0.481946641184476
12884,20341,0.568458581399363
12884,23499,0.731965222470393
12884,23501,0.690757090974634
12884,23505,0.684249851475885
12884,23507,0.636361932054191
12884,24129,0.45093370777608
12884,24526,0.718631695042606
12884,24529,0.847362239735952
12884,24570,0.715050514688907
12884,24571,0.561126641822792
12884,24573,0.677330841749969
12884,24576,0.700345449123199
12884,24577,0.705672365194386
12884,24579,0.592301477758157
12884,24582,-0.329474782475642
12884,24583,0.338365053928133
12884,24585,0.696682386076718
12884,24588,0.678498300525102
12884,24589,0.776599843292162
12884,24591,0.839635354686696
12884,24594,0.73726918731017
12884,24595,0.708484148601662
12884,24597,0.708493893313936
12884,24601,0.793102476858666
12884,24603,0.721104717741516
12884,24751,0.775231210665212
12884,24809,0.354393869559073
12884,24837,0.502325745383261
12884,24839,0.632144287618886
12884,24843,0.639372226746062
12884,24845,0.768925196233099
12884,24849,0.747751317701125
12884,24851,0.653819469008175
12884,24855,0.754371623021516
12884,24857,0.644763663067762
12884,24922,0.320021217785861
12884,24924,0.734636711202558
12884,24928,0.595350622554107
12884,24930,0.633861867516493
12884,24934,0.638875332298636
12884,24936,0.671455789554232
12884,24940,0.585852459844963
12884,24942,0.645740828498623
12884,24946,0.252863296193037
12884,24948,0.544040141062067
12884,24952,0.88008301872868
12884,24954,0.713786294821658
12884,24958,0.612351695290382
12884,24960,0.439245822882268
12884,24964,0.673563672406245
12884,24966,0.652782386004085
12884,24970,0.683914795722057
12884,24972,0.668285681821035
12884,24976,0.526104742485273
12884,24978,0.684257745113867
12884,24982,0.606656557881124
12884,24984,0.69939435658694
12884,24988,0.521458980370841
12884,24990,0.745802262838026
12884,24994,0.65854155932295
12884,24996,0.456427911769863
12884,25002,0.589527290649915
12884,25012,0.721893478929108
12884,25014,0.720674225744195
12884,25018,0.364285996372151
12884,25036,0.643820275235159
12884,25038,0.812764305700724
12884,25048,0.7880407571335
12884,25050,0.599485781941938
12884,25054,0.708096306429593
12884,25060,0.715947198247836
12884,25062,0.66052100158656
12884,25066,0.69969797790918
12884,25068,0.628915795295292
12884,25074,0.602122580555394
12884,25083,0.569972607446664
12884,25084,0.70462407126458
12890,13343,0.879998758502447
12890,13355,-0.00841488835156285
12890,13580,0.489834365633741
12890,17221,0.688615663469015
12890,17222,0.841079475731321
12890,19767,0.732005292487521
12890,19768,0.768270095140474
12890,19769,0.701341126658586
12890,19794,0.664891030799067
12890,19795,0.102077157200912
12890,19796,0.779465213378198
12890,19861,0.830775262447011
12890,19862,0.805635930304201
12890,19866,0.832020141720241
12890,19867,0.553282341443441
12890,19868,0.803945492476024
12890,19870,0.859556783905026
12890,20330,0.784865464511187
12890,20332,0.775773523053409
12890,20339,0.799027405164217
12890,20340,0.680881418464946
12890,20341,0.65140524951025
12890,23499,0.817083544332038
12890,23501,0.742810101687711
12890,23505,0.81532866421455
12890,23507,0.790155397544761
12890,24129,0.507004240797956
12890,24526,0.788372683798366
12890,24529,0.709619065309373
12890,24570,0.779248786859989
12890,24571,0.729758320521133
12890,24573,0.768514444591573
12890,24576,0.768823735005457
12890,24577,0.855748156939982
12890,24579,0.681502306492384
12890,24582,-0.304855200672803
12890,24583,0.204842227898414
12890,24585,0.781680161974389
12890,24588,0.783469413255383
12890,24589,0.790994487666746
12890,24591,0.719281595666462
12890,24594,0.69475616016214
12890,24595,0.791645105208382
12890,24597,0.465022442643664
12890,24601,0.820201338781016
12890,24603,0.802608380520951
12890,24751,0.903486199784673
12890,24809,0.21494546005696
12890,24837,0.629005420568089
12890,24839,0.854599293689124
12890,24843,0.76859848596546
12890,24845,0.847890282223625
12890,24849,0.717939177983013
12890,24851,0.84757474132716
12890,24855,0.818308690210982
12890,24857,0.774167882911981
12890,24922,0.64152037483449
12890,24924,0.833377620397856
12890,24928,0.593921572008048
12890,24930,0.676898071596063
12890,24934,0.885177339079524
12890,24936,0.837389650893966
12890,24940,0.718854015199896
12890,24942,0.805647589977248
12890,24946,0.155413445890861
12890,24948,0.617791037818532
12890,24952,0.602053772182568
12890,24954,0.816744697928699
12890,24958,0.782256795169641
12890,24960,0.716670451620781
12890,24964,0.895885557466477
12890,24966,0.881895271852445
12890,24970,0.839815338753138
12890,24972,0.772074527431071
12890,24976,0.74580893009988
12890,24978,0.785998355794937
12890,24982,0.775512656128493
12890,24984,0.846009648772039
12890,24988,0.425544115749515
12890,24990,0.855394798118482
12890,24994,0.933307975735508
12890,24996,0.823425706642087
12890,25002,0.744703810893796
12890,25012,0.802267556147898
12890,25014,0.867504767725227
12890,25018,0.553138409136428
12890,25036,0.86983214928948
12890,25038,0.87514792462272
12890,25048,0.824655978398686
12890,25050,0.751832191131748
12890,25054,0.825399191589269
12890,25060,0.789012071110738
12890,25062,0.811111466336085
12890,25066,0.83281715429441
12890,25068,0.761991117439911
12890,25074,0.83655949544772
12890,25083,0.558713167218293
12890,25084,0.691724220194183
13343,13355,0.0574304644489493
13343,13580,0.534300521227338
13343,17221,0.74774719543286
13343,17222,0.839855811037338
13343,19767,0.708307039966265
13343,19768,0.725416863198084
13343,19769,0.670823205696126
13343,19794,0.505003914586122
13343,19795,0.00318885012484701
13343,19796,0.676243077769189
13343,19861,0.769544358371542
13343,19862,0.765165049592722
13343,19866,0.852080775122632
13343,19867,0.594579193599411
13343,19868,0.817475072810377
13343,19870,0.786220797208004
13343,20330,0.757875728505832
13343,20332,0.830840662820071
13343,20339,0.803453102486261
13343,20340,0.645068765958998
13343,20341,0.638166660803228
13343,23499,0.813227190882534
13343,23501,0.7400351989486
13343,23505,0.776380389885174
13343,23507,0.732653269932106
13343,24129,0.52266373060488
13343,24526,0.774576719987558
13343,24529,0.815786051444951
13343,24570,0.831500574720916
13343,24571,0.707314907116887
13343,24573,0.772285287711023
13343,24576,0.782011615499939
13343,24577,0.857330508481111
13343,24579,0.755188320889381
13343,24582,-0.229127689005802
13343,24583,0.246372624621793
13343,24585,0.820414093657381
13343,24588,0.748483772459333
13343,24589,0.816781574163394
13343,24591,0.776232443739347
13343,24594,0.710945095486707
13343,24595,0.793470145136899
13343,24597,0.512804758303962
13343,24601,0.841475483223865
13343,24603,0.767082210002656
13343,24751,0.878631132834914
13343,24809,0.374419637603149
13343,24837,0.723012103158352
13343,24839,0.8014501464786
13343,24843,0.724227103389442
13343,24845,0.820197734527958
13343,24849,0.808880577397661
13343,24851,0.811453789605026
13343,24855,0.832369233935963
13343,24857,0.760218730026204
13343,24922,0.477450039439799
13343,24924,0.813843508290866
13343,24928,0.507315421318256
13343,24930,0.629599107303133
13343,24934,0.795325701004824
13343,24936,0.801593518379307
13343,24940,0.700261075399797
13343,24942,0.772675222962421
13343,24946,0.0971226481002008
13343,24948,0.740964840018506
13343,24952,0.69290944492598
13343,24954,0.785539380772231
13343,24958,0.744109249078123
13343,24960,0.586151795950167
13343,24964,0.868565088297966
13343,24966,0.846363820758024
13343,24970,0.820051375283789
13343,24972,0.763183556112361
13343,24976,0.680507032212489
13343,24978,0.763580378351728
13343,24982,0.734116994396693
13343,24984,0.823045770463179
13343,24988,0.45072073785673
13343,24990,0.876546124314547
13343,24994,0.819072621665273
13343,24996,0.641130639690285
13343,25002,0.694650858780625
13343,25012,0.809994581836923
13343,25014,0.864523168711587
13343,25018,0.503508610480927
13343,25036,0.815554221049205
13343,25038,0.889348870787509
13343,25048,0.850567602974534
13343,25050,0.664279862495576
13343,25054,0.849849961715797
13343,25060,0.795601460288145
13343,25062,0.798325280117357
13343,25066,0.812137064220545
13343,25068,0.686094216833241
13343,25074,0.750021191595244
13343,25083,0.595644763286887
13343,25084,0.788792802164061
13355,13580,0.677236296765093
13355,17221,0.342290531734852
13355,17222,-0.00283560857587254
13355,19767,-0.475727117104554
13355,19768,-0.429475304214246
13355,19769,-0.504187274288051
13355,19794,-0.298529580357606
13355,19795,-0.297646036536354
13355,19796,-0.0560863357894986
13355,19861,-0.308850010559765
13355,19862,-0.134665493574371
13355,19866,-0.172428147087846
13355,19867,-0.131756304238103
13355,19868,-0.184758283860194
