,S62343,S62284,S62566,S62500,S62583,S62421,S62554,S62434,S62338,S62393,S62549,S62355,S62398,S62542,S62524,S62543,S62272,S62254,S62561,S62535,S62488,S62571,S62501,S62511,S62487,S62591,S62260,S62553,S62379,S62333,S62319,S62439,S62321,S62368,S62507,S62555,S62482,S62536,S62477,S62279,S62278,S62326,S62475,S62320,S62573,S62572,S62375,S62392,S62356,S62416,S62512,S62548,S62596,S62506,S62441,S62590,S62523,S62537,S62271,S62345,S62565,S62374,S62415,S62517,S62595,S62440,S62349,S62283,S62380,S62481,S62585,S62547,S62285,S62337,S62259,S62381,S62560,S62584,S62525,S62435,S62351,S62476,S62429,S62277,S62541,S62505,S62422,S62325,S62397,S62399,S62332,S62513,S62261,S62518,S62350,S62273,S62567,S62253,S62373,S62339
S62488,0.636480736,0.571393166,0.111367478,0.736368122,0.911718742,0.719836377,0.661210361,0.872027239,0.074028891,0.836545242,0.280233109,0.667828593,0.421642924,0.855680349,0.823833178,0.65255658,0.578074212,0.67082923,0.799304641,0.531689761,1,0.741916532,0.762224518,0.965770351,0.716661201,0.007781917,0.682312651,0.155145103,0.682777877,0.73515529,0.519432754,0.642448338,0.909702274,0.68922989,0.766560386,0.715558617,0.186133984,0.712025446,0.56763058,0.802389318,0.906954515,0.642453462,0.833271934,0.756932232,0.826800603,0.632269041,0.571658328,0.426877583,0.25831062,0.12149993,0.949793131,0.692535846,0.874309134,0.52993023,0.650250393,0.732422949,0.750917091,0.575914847,0.771225189,0.439843074,-0.148174473,0.814689207,0.243924015,0.504187495,0.793592058,0.593957404,0.867579041,0.045660197,0.654695164,0.518036488,0.531339187,0.676845269,0.663446958,0.412871292,0.685430586,0.768653423,0.768872545,0.807782919,0.551893218,0.809684569,0.095498394,0.709373009,0.78003405,0.832317252,0.526086096,0.913444055,0.628530995,0.491815292,0.709296205,0.512487616,0.803465163,0.919335924,0.83897131,0.416610162,0.823053355,0.624606406,0.729052621,0.715641309,0.584956262,0.454078325
S62571,0.922868141,0.682641895,0.459880959,0.735889459,0.856203554,0.859980514,0.870974458,0.864096776,0.276341101,0.745138533,0.518910721,0.755975654,0.747350544,0.859878419,0.813087745,0.90525604,0.812103152,0.832579455,0.770349768,0.754569381,0.741916532,1,0.796423047,0.761575235,0.78346672,0.181347716,0.793646578,0.544257745,0.523733972,0.766408543,0.461054273,0.859020907,0.735622394,0.880324405,0.822968344,0.892283606,0.513394083,0.759831056,0.805194761,0.596942256,0.654638635,0.760276486,0.834135374,0.784019867,0.905327518,0.836033646,0.708458104,0.587093261,0.418567662,0.548517415,0.784928188,0.543495532,0.696118817,0.676712499,0.577018788,0.579369372,0.863690708,0.287630041,0.886983095,0.719950457,0.170373763,0.739774748,0.470222073,0.745457541,0.686753103,0.844052628,0.82457919,0.18686363,0.683317393,0.784128559,0.772781132,0.799564303,0.674074318,0.34948718,0.801583883,0.811887215,0.572810991,0.822027856,0.670096008,0.80134225,0.136150948,0.85354294,0.900902411,0.81426928,0.829066607,0.875732634,0.490166659,0.797781582,0.870150594,0.81439051,0.841825485,0.787897508,0.791841748,0.476061793,0.844375597,0.83188945,0.895520722,0.841107141,0.846575962,0.438209907
S62501,0.806361943,0.791132823,0.374368722,0.721984755,0.826763892,0.733702457,0.7497482,0.796515791,0.321711996,0.664324626,0.293458827,0.673101767,0.677875214,0.873657236,0.817538341,0.754693597,0.768452635,0.765256623,0.726529894,0.775462834,0.762224518,0.796423047,1,0.791010872,0.924654477,0.32486366,0.823941257,0.609284094,0.701681778,0.710780961,0.490849351,0.724040657,0.772068656,0.771083546,0.930659914,0.758728289,0.440202837,0.694939727,0.858924765,0.618788229,0.696330446,0.883753344,0.908810404,0.902253342,0.877643036,0.77078849,0.766466643,0.7319579,0.303093005,0.497316301,0.796156241,0.461688228,0.677529502,0.861255891,0.743005968,0.762674985,0.808456983,0.383613,0.84921855,0.750150109,0.001224311,0.60267562,0.29046172,0.697908966,0.681894869,0.718805287,0.848390423,0.307546442,0.771970646,0.848600758,0.70666211,0.592649739,0.860858504,0.6409771,0.742089433,0.755305756,0.478652374,0.691280651,0.796834068,0.663707985,0.137955777,0.884128972,0.792220268,0.825628732,0.795025853,0.88906237,0.384477902,0.774957322,0.810435763,0.711200022,0.831158423,0.818742891,0.754959106,0.704239742,0.699519564,0.880889391,0.830940931,0.77154045,0.815200319,0.636668934
S62511,0.69026605,0.577595379,0.184610669,0.815244329,0.944662236,0.758245431,0.72269614,0.919168927,0.056001034,0.845232821,0.362233611,0.724557638,0.489225916,0.873406816,0.853469582,0.71160909,0.660087975,0.714015242,0.856392138,0.569120413,0.965770351,0.761575235,0.791010872,1,0.722321076,-0.012183721,0.753372581,0.214037227,0.68441653,0.824289851,0.533848649,0.692371009,0.935106173,0.775922958,0.799965101,0.78791304,0.246866962,0.787441487,0.614968429,0.859813158,0.945495288,0.675231979,0.885003885,0.784466997,0.841640492,0.658359448,0.599456721,0.438134076,0.268054415,0.19081781,0.986748571,0.754275275,0.929308385,0.570712557,0.683840807,0.74782245,0.807451462,0.581150276,0.828720074,0.497046489,-0.091349117,0.807987104,0.275435134,0.563165672,0.86555376,0.663374299,0.900548576,0.020494468,0.70274072,0.575861631,0.611099856,0.739980737,0.673966692,0.378852937,0.756542267,0.807189537,0.802375933,0.874259146,0.618360867,0.867720845,0.041441437,0.784500648,0.829685975,0.906730065,0.595419738,0.93316355,0.628254601,0.55226432,0.756365151,0.574354417,0.865327603,0.963600126,0.869195571,0.423318803,0.872655678,0.682276672,0.768183533,0.785275464,0.662638289,0.426158881
S62487,0.791781734,0.747273358,0.361538522,0.645435489,0.808382439,0.705716567,0.666108993,0.742270231,0.419274565,0.610717931,0.277071922,0.553622066,0.717710202,0.826810736,0.749709372,0.704870581,0.684047282,0.75240784,0.682737034,0.763026937,0.716661201,0.78346672,0.924654477,0.722321076,1,0.342303416,0.771924578,0.665625324,0.637335871,0.665632201,0.531395528,0.695769421,0.700503756,0.720462914,0.915096767,0.67919055,0.503120317,0.607734163,0.903406611,0.552688857,0.594546621,0.877481802,0.864294924,0.878477467,0.864418484,0.778927233,0.727856698,0.682814706,0.344681308,0.532303916,0.724490447,0.376170873,0.59783712,0.884512399,0.712146745,0.716369986,0.739997255,0.358009146,0.806205241,0.776650692,0.072833934,0.531345792,0.224317213,0.67441022,0.594650075,0.680282687,0.817933419,0.40062812,0.725272064,0.827186926,0.695826249,0.564351564,0.84235394,0.69739628,0.672030432,0.748322996,0.41687893,0.602401307,0.765750637,0.569001698,0.203850683,0.850586494,0.772664253,0.777521778,0.82713424,0.86768366,0.327255752,0.755109091,0.769991463,0.731656727,0.756981518,0.753354521,0.744570311,0.748014172,0.617956859,0.87694866,0.797044999,0.708676638,0.79430813,0.699063846
S62591,0.209374549,0.305626387,0.12778438,0.052612997,0.068650105,0.151454669,0.104135687,0.026039351,0.406514515,0.078276247,-0.02979743,0.169536662,0.25850542,0.149427641,0.094908045,0.097185938,0.244239395,0.180320463,0.102949609,0.337376655,0.007781917,0.181347716,0.32486366,-0.012183721,0.342303416,1,0.161579689,0.504842807,0.053460299,-0.019454086,0.3093165,0.161983733,0.008487038,0.091867606,0.261350973,0.073790876,0.258387688,-0.000778689,0.388139599,-0.142606101,-0.105296534,0.377116736,0.205786693,0.237787167,0.188836347,0.194998645,0.331273183,0.567594917,0.310259372,0.265669742,-0.001570147,-0.130420474,-0.138728263,0.340962005,0.18382037,0.162255241,0.128280587,0.017921734,0.181176453,0.312639533,0.186579347,-0.048798941,0.055774456,0.218451457,-0.122519646,0.177046202,0.09106008,0.438564324,0.219431025,0.349177392,0.209856228,0.073542888,0.219613928,0.428668928,0.080307405,0.224552802,-0.041026675,-0.055004116,0.314941585,-0.061025436,0.37031314,0.250584677,0.092262253,0.050214675,0.275373639,0.15276092,0.112526295,0.334564673,0.1441807,0.193999695,0.095765816,0.037216231,0.07877811,0.310914206,-0.07424481,0.339644385,0.156176768,0.070466614,0.247389544,0.408539361
S62260,0.876832987,0.702560616,0.631902438,0.662842599,0.8478368,0.813835025,0.867934681,0.890963821,0.072946358,0.578913636,0.597482469,0.666675711,0.835127322,0.892794929,0.860460034,0.881260442,0.793721404,0.900241482,0.791693799,0.902325672,0.682312651,0.793646578,0.823941257,0.753372581,0.771924578,0.161579689,1,0.621691004,0.776908436,0.847030985,0.324163746,0.906515669,0.800494121,0.839152133,0.861138521,0.88986904,0.642838423,0.867862568,0.811288506,0.665274262,0.739223913,0.813537064,0.918036602,0.889722939,0.875395176,0.805474603,0.542743805,0.626128829,0.157325293,0.510581197,0.773058061,0.618128753,0.770786524,0.728094639,0.831486549,0.653578608,0.950264853,0.515909168,0.936989356,0.700426378,0.061848613,0.603534531,0.19130006,0.78204409,0.81009042,0.853727345,0.875706342,0.212629694,0.842698201,0.859198652,0.870177077,0.696615186,0.776250034,0.418107445,0.955424305,0.687475352,0.486364675,0.795706129,0.867813235,0.800969005,-0.048434816,0.910906206,0.856894224,0.86523745,0.856551473,0.826314766,0.295589178,0.759219305,0.94994021,0.901890328,0.929600696,0.767243193,0.824734454,0.553103897,0.814219388,0.865100933,0.799319902,0.953832238,0.831434851,0.387379362
S62553,0.678972203,0.549137234,0.543700985,0.37215757,0.412473375,0.458447013,0.52133366,0.371838347,0.483662461,0.183992984,0.36599238,0.331817327,0.752773068,0.495321838,0.425956996,0.57192524,0.593652494,0.573505116,0.332433271,0.720997694,0.155145103,0.544257745,0.609284094,0.214037227,0.665625324,0.504842807,0.621691004,1,0.342831584,0.460520188,0.264705766,0.572544376,0.255117625,0.550913133,0.616931523,0.488186035,0.661132613,0.420746224,0.792177167,0.167062933,0.125365393,0.689065272,0.558828435,0.596918279,0.552280279,0.65077894,0.4632976,0.611289674,0.307567089,0.742376954,0.236867534,0.041600062,0.185596991,0.709693411,0.513784036,0.302722801,0.53220616,0.056829184,0.5767784,0.737706984,0.302024436,0.099839234,0.124399451,0.681673223,0.304859314,0.591822984,0.438698237,0.564571346,0.504619283,0.792373658,0.662086368,0.354401869,0.572330806,0.492081066,0.520522183,0.448620755,-0.025195926,0.304795318,0.731258813,0.233985746,0.186796224,0.669044077,0.483795785,0.459434473,0.790443421,0.447614499,0.033015149,0.735735867,0.601842945,0.710106276,0.477638931,0.270540859,0.344716477,0.65573222,0.293848268,0.721222815,0.480209858,0.531941485,0.733314397,0.578792026
S62379,0.584881515,0.702124843,0.311675605,0.445587818,0.700048213,0.624551729,0.601114939,0.72051976,0.03843812,0.495204407,0.243734205,0.483802968,0.496718933,0.774078985,0.745610918,0.58225622,0.473390162,0.706686514,0.625482341,0.734243819,0.682777877,0.523733972,0.701681778,0.68441653,0.637335871,0.053460299,0.776908436,0.342831584,1,0.569141142,0.211749669,0.638690599,0.755632575,0.528490606,0.699976451,0.62444883,0.356671652,0.698579491,0.553438969,0.532760034,0.709578676,0.659888235,0.742626429,0.753283468,0.696488692,0.57976777,0.423439417,0.489864606,0.036024456,0.195222282,0.684853002,0.531820032,0.643203844,0.558030888,0.778129383,0.714121987,0.73114937,0.605720071,0.682004769,0.41006058,-0.297857586,0.466763632,0.073316377,0.530628666,0.677621603,0.543838621,0.746825966,0.284299018,0.667932543,0.625312565,0.532608899,0.412633667,0.763164732,0.523964248,0.725858602,0.485722405,0.385847865,0.573934443,0.696943735,0.62308882,0.001373364,0.644017153,0.612380959,0.672064883,0.529714064,0.700643357,0.245155625,0.480789216,0.726093216,0.593904131,0.73024447,0.654428931,0.696088695,0.56228,0.627603725,0.599755495,0.635665589,0.731708402,0.501332464,0.421192991
S62333,0.782646687,0.477322888,0.516547577,0.808633393,0.876231201,0.752609062,0.822033792,0.89297081,0.009344691,0.666352288,0.673868207,0.691486125,0.733291581,0.819458201,0.805192077,0.827500878,0.807224671,0.747548611,0.809778124,0.667223337,0.73515529,0.766408543,0.710780961,0.824289851,0.665632201,-0.019454086,0.847030985,0.460520188,0.569141142,1,0.454841253,0.817911042,0.814447781,0.888088485,0.779945028,0.874115635,0.519594628,0.871563562,0.700766258,0.841431268,0.811167688,0.646694839,0.865936142,0.741893897,0.794655379,0.766308601,0.495048698,0.40574534,0.25772249,0.4470755,0.832540009,0.735059075,0.887091825,0.582477844,0.698668746,0.553698358,0.882137441,0.500479353,0.892619428,0.646718491,0.178873307,0.725272663,0.288319577,0.684273356,0.86093261,0.803578744,0.834371443,0.045747533,0.761325153,0.701197162,0.811382053,0.813842961,0.59502414,0.233434566,0.878423534,0.740869581,0.673123144,0.889853086,0.729232708,0.866279338,-0.021007461,0.856764083,0.871710654,0.883612551,0.771273849,0.814829304,0.464474963,0.626832872,0.827346352,0.765700755,0.88368273,0.83270937,0.80303216,0.364392043,0.857817293,0.781972449,0.723346322,0.863564257,0.803513667,0.320769841
S62319,0.413683724,0.335906803,0.083615733,0.63803999,0.559855211,0.473371311,0.281790878,0.484919339,0.31413307,0.609169243,0.307688137,0.498836515,0.389375019,0.452308067,0.453953304,0.275772545,0.415655517,0.464111485,0.625295056,0.298640394,0.519432754,0.461054273,0.490849351,0.533848649,0.531395528,0.3093165,0.324163746,0.264705766,0.211749669,0.454841253,1,0.315840116,0.464763161,0.433031407,0.495257396,0.347658057,0.303018343,0.335437863,0.486747711,0.476438561,0.423026729,0.478703811,0.532866728,0.466918235,0.424057583,0.500513716,0.458549574,0.329042158,0.702377539,0.23955866,0.545148773,0.443075876,0.429777711,0.425639775,0.3057587,0.403333989,0.36788884,0.364927486,0.468254698,0.360347961,0.349989073,0.363715752,0.279705176,0.342114043,0.355755607,0.421785385,0.540151044,0.281075304,0.448285129,0.327698466,0.411040263,0.55275095,0.393608603,0.355770868,0.292623438,0.609337396,0.629004547,0.375444957,0.449532002,0.354970966,0.510788515,0.473533561,0.488679707,0.494009318,0.44843523,0.547571163,0.63627117,0.357461558,0.316009043,0.307581869,0.369408125,0.581126,0.627186253,0.274642051,0.376098897,0.565402446,0.454352751,0.340803922,0.444676681,0.472379729
S62439,0.894036857,0.688916963,0.598795086,0.638178828,0.793538767,0.859303499,0.912113783,0.871620779,0.130336442,0.583518787,0.640693694,0.660549598,0.830895876,0.862006409,0.811132553,0.937169434,0.784581276,0.900724819,0.769186337,0.858485333,0.642448338,0.859020907,0.724040657,0.692371009,0.695769421,0.161983733,0.906515669,0.572544376,0.638690599,0.817911042,0.315840116,1,0.769138647,0.845654004,0.773808242,0.909919648,0.605069214,0.859732719,0.7350602,0.641977637,0.686950185,0.741402499,0.834112973,0.82916578,0.859118685,0.795527149,0.500035877,0.590298999,0.242066344,0.519794919,0.716171398,0.582516954,0.741969429,0.627468173,0.759089481,0.589325721,0.950644815,0.360847215,0.912527465,0.696898967,0.121581351,0.678322651,0.260021205,0.829007552,0.753873703,0.920769141,0.818104424,0.150219942,0.742947844,0.794428614,0.822876856,0.744484944,0.71161531,0.268183581,0.934063313,0.710918645,0.521160422,0.829496198,0.772654696,0.845859703,-0.022769833,0.839663298,0.859610308,0.833814295,0.84091882,0.786715818,0.359094715,0.779240329,0.933870281,0.906247423,0.915232379,0.689879398,0.761004332,0.429799392,0.853047076,0.794667617,0.78995135,0.944395887,0.80372502,0.281127006
S62321,0.688724989,0.666179551,0.22059922,0.770213974,0.904549929,0.790270742,0.778391135,0.919914496,0.065536178,0.801551615,0.366002604,0.694665164,0.548545912,0.89176299,0.85603685,0.754965788,0.647567773,0.781969379,0.838412174,0.654084448,0.909702274,0.735622394,0.772068656,0.935106173,0.700503756,0.008487038,0.800494121,0.255117625,0.755632575,0.814447781,0.464763161,0.769138647,1,0.752294594,0.786495828,0.803409799,0.243716189,0.849593559,0.604937132,0.846666442,0.933287379,0.673746685,0.872282383,0.815296056,0.843564037,0.680406284,0.587800191,0.506470535,0.253407455,0.213629776,0.93601788,0.728036753,0.915482683,0.598375986,0.797600405,0.818722119,0.865419672,0.554385183,0.854516094,0.516914367,-0.1910986,0.762643136,0.180469128,0.638091599,0.882757426,0.683370362,0.905792887,0.066442043,0.711135731,0.610256799,0.62766741,0.683748112,0.739375706,0.376827165,0.826519165,0.782382912,0.770541754,0.865867898,0.661714123,0.872970449,0.059792895,0.759283576,0.821939389,0.898555282,0.621837122,0.899658529,0.56244704,0.592201106,0.800711628,0.625702669,0.907372259,0.895560151,0.857826388,0.454663007,0.888168948,0.67487755,0.745778758,0.841094644,0.661251924,0.425122884
S62368,0.882874448,0.545333435,0.575518152,0.787879115,0.860937816,0.799102321,0.898501008,0.868577245,0.100752827,0.662414131,0.682024795,0.775049073,0.795364553,0.827658748,0.783730277,0.911561072,0.887112882,0.781666521,0.779704268,0.687261489,0.68922989,0.880324405,0.771083546,0.775922958,0.720462914,0.091867606,0.839152133,0.550913133,0.528490606,0.888088485,0.433031407,0.845654004,0.752294594,1,0.790713651,0.929323513,0.563606157,0.853047597,0.769243428,0.732496202,0.727432845,0.680109134,0.848667427,0.74066761,0.83467811,0.804941175,0.591252184,0.497231742,0.326388519,0.523959015,0.803056783,0.681658503,0.793268682,0.646555607,0.60890688,0.552338664,0.88839594,0.384535418,0.912970594,0.735928454,0.261109773,0.715652215,0.435609943,0.732417397,0.800933163,0.863049354,0.826472359,0.042391223,0.770022297,0.775594881,0.868889016,0.86202633,0.603368922,0.232035823,0.875347075,0.815833301,0.607701628,0.910517261,0.715824995,0.852267719,-0.004743019,0.89378729,0.911082106,0.886581674,0.832989684,0.827283669,0.496971555,0.726332157,0.874297456,0.838831955,0.880514461,0.801694507,0.779230528,0.346408667,0.87209822,0.829252459,0.826778457,0.880793401,0.8807813,0.308878331
S62507,0.833081275,0.741132039,0.436678841,0.737769457,0.862489626,0.778386488,0.772176121,0.833999561,0.262455473,0.650743701,0.35439333,0.619462112,0.725405606,0.887693557,0.834043673,0.798904634,0.77616272,0.773648622,0.748059077,0.800476312,0.766560386,0.822968344,0.930659914,0.799965101,0.915096767,0.261350973,0.861138521,0.616931523,0.699976451,0.779945028,0.495257396,0.773808242,0.786495828,0.790713651,1,0.782005826,0.496686524,0.731444345,0.882935649,0.654322783,0.705588082,0.888747378,0.934266659,0.886062429,0.902836098,0.810234131,0.722352278,0.696904126,0.31502971,0.562550649,0.81039248,0.497661678,0.716150852,0.871939379,0.774521164,0.737935265,0.842685013,0.389708379,0.881778172,0.774350587,0.04244554,0.63342996,0.21918406,0.717602286,0.717933831,0.748331538,0.877076788,0.30305723,0.768631594,0.848762441,0.751980746,0.638824117,0.828044516,0.60525566,0.775865776,0.781512517,0.493222643,0.726852147,0.782434196,0.692916685,0.083534544,0.917476027,0.827945223,0.850674789,0.843118959,0.916070937,0.360552307,0.802339972,0.831351833,0.761367805,0.853460739,0.832170213,0.791925535,0.712095315,0.740995854,0.888333903,0.823549519,0.799136502,0.862591953,0.632963689
S62555,0.897855623,0.640802317,0.576003519,0.738524572,0.847270395,0.842901734,0.963696681,0.91162125,0.060505861,0.708103254,0.654739518,0.787531657,0.755038789,0.877872531,0.833636285,0.95158633,0.868626636,0.837057469,0.775686909,0.762931541,0.715558617,0.892283606,0.758728289,0.78791304,0.67919055,0.073790876,0.88986904,0.488186035,0.62444883,0.874115635,0.347658057,0.909919648,0.803409799,0.929323513,0.782005826,1,0.50327705,0.891121398,0.717727005,0.714890434,0.768285044,0.693465704,0.861600598,0.77774894,0.849489176,0.778150218,0.596558786,0.528928504,0.232615661,0.480014422,0.815687913,0.718278799,0.810952461,0.610440861,0.671965746,0.608494514,0.943581049,0.417690737,0.929599789,0.657918759,0.095980624,0.756558209,0.426374218,0.74911733,0.83212786,0.870011723,0.839754711,0.011344741,0.767260171,0.78981305,0.824439673,0.815354305,0.651171392,0.24893821,0.936716591,0.762378622,0.599615447,0.9161174,0.730785201,0.906407809,-0.040186186,0.8784075,0.907766462,0.876723714,0.797079322,0.827146331,0.436581941,0.745576897,0.918465166,0.83905484,0.925046804,0.807462318,0.789644805,0.3553078,0.920763721,0.809768336,0.857436793,0.938866084,0.831311169,0.272961217
S62482,0.643246724,0.310401324,0.76178002,0.289338203,0.470713261,0.503036455,0.477733196,0.461036697,-0.012642893,0.151521441,0.715361475,0.351664657,0.822909278,0.454923087,0.410001811,0.531586082,0.537884999,0.654929792,0.45262537,0.652729235,0.186133984,0.513394083,0.440202837,0.246866962,0.503120317,0.258387688,0.642838423,0.661132613,0.356671652,0.519594628,0.303018343,0.605069214,0.243716189,0.563606157,0.496686524,0.50327705,1,0.440087949,0.690330724,0.211591815,0.195776329,0.500262634,0.517768215,0.549443693,0.490355614,0.607278162,0.166366875,0.374914528,0.223053185,0.548395126,0.270754071,0.295667342,0.298179948,0.460785771,0.392550542,0.126045903,0.555523866,0.356972577,0.59955869,0.578667247,0.618856213,0.181296688,0.129190004,0.537172671,0.279171331,0.656109386,0.457021252,0.324581632,0.608098012,0.643041548,0.794580641,0.544453971,0.423022204,0.144854802,0.588644832,0.368023492,0.127528173,0.360460128,0.664587862,0.353673724,0.027222903,0.602018879,0.526954955,0.423958394,0.717144515,0.395231815,0.124899277,0.457386842,0.635978848,0.781660423,0.466095957,0.288251245,0.519157821,0.281001049,0.327787285,0.697524987,0.466708424,0.585359271,0.563619895,0.135244128
S62536,0.781536153,0.593854829,0.463238641,0.700126475,0.818624439,0.767934787,0.868309154,0.89169558,0.022882568,0.662482695,0.603237736,0.734130322,0.681587113,0.828598691,0.850120031,0.851631103,0.759115616,0.814088956,0.815759666,0.736094574,0.712025446,0.759831056,0.694939727,0.787441487,0.607734163,-0.000778689,0.867862568,0.420746224,0.698579491,0.871563562,0.335437863,0.859732719,0.849593559,0.853047597,0.731444345,0.891121398,0.440087949,1,0.612138294,0.748366984,0.806742571,0.644363276,0.81859808,0.757023021,0.796510839,0.717890954,0.501531154,0.459180076,0.265124133,0.346537647,0.806472971,0.734809452,0.840738947,0.54113898,0.746891236,0.638311679,0.911747452,0.491760525,0.870438019,0.569016332,-0.012517705,0.691440597,0.304685662,0.72580668,0.85926049,0.813271351,0.830184819,0.068733939,0.731112085,0.699323025,0.740158672,0.752285467,0.635200345,0.271180645,0.9201602,0.697646049,0.639576752,0.875455938,0.730189226,0.887581382,-0.00800301,0.804083246,0.821375507,0.854319315,0.699129081,0.790324014,0.462354862,0.64305723,0.865194948,0.762381405,0.899048012,0.773941651,0.789708334,0.371372953,0.890227593,0.711149528,0.743233787,0.916309641,0.732184872,0.310376049
S62477,0.842917795,0.693288187,0.568171339,0.61509337,0.762299358,0.714418692,0.71898797,0.704386766,0.350459199,0.519071494,0.443847335,0.557066773,0.84255099,0.77100784,0.707122444,0.7500273,0.793513997,0.787271741,0.650008145,0.818831385,0.56763058,0.805194761,0.858924765,0.614968429,0.903406611,0.388139599,0.811288506,0.792177167,0.553438969,0.700766258,0.486747711,0.7350602,0.604937132,0.769243428,0.882935649,0.717727005,0.690330724,0.612138294,1,0.473240935,0.485797515,0.834222937,0.841523495,0.827908783,0.843210902,0.825544512,0.693819977,0.713525771,0.376499959,0.697334295,0.622734339,0.342461001,0.533551177,0.893318011,0.64456405,0.574453254,0.769270927,0.292216943,0.850338723,0.844834767,0.291852439,0.475536471,0.284366084,0.698538063,0.533951029,0.736440806,0.746991742,0.417710668,0.761705828,0.920897038,0.828883082,0.619883808,0.755595324,0.560804012,0.724095618,0.743517479,0.318185443,0.606236512,0.793065981,0.550353209,0.144715825,0.898214048,0.769675521,0.730440412,0.903304249,0.792899821,0.270394579,0.776864642,0.809295192,0.820616617,0.748211464,0.657404395,0.703853342,0.69493175,0.588046218,0.934931443,0.774430764,0.733126105,0.872719931,0.603808347
S62279,0.561239257,0.405236091,0.226334431,0.783166405,0.817738054,0.63696528,0.676840907,0.813361978,-0.031321267,0.67945817,0.461642822,0.589547019,0.49341379,0.756700734,0.698114083,0.665384175,0.622503992,0.609737919,0.736459978,0.422095676,0.802389318,0.596942256,0.618788229,0.859813158,0.552688857,-0.142606101,0.665274262,0.167062933,0.532760034,0.841431268,0.476438561,0.641977637,0.846666442,0.732496202,0.654322783,0.714890434,0.211591815,0.748366984,0.473240935,1,0.896852835,0.51799313,0.747439046,0.621184997,0.682172072,0.604527676,0.427090702,0.269036665,0.193399941,0.227856111,0.866022782,0.731229244,0.935811306,0.462057075,0.662187957,0.637187648,0.734637237,0.46613558,0.737029893,0.506429891,-0.013645459,0.762928835,0.13174181,0.523283082,0.885376581,0.607433524,0.785000751,-0.133779577,0.64785369,0.43251061,0.577161699,0.656091345,0.558263996,0.140536151,0.71682739,0.724945836,0.741387481,0.848086273,0.540376144,0.828165645,-0.078744956,0.651004432,0.762608432,0.867908977,0.555361649,0.779362779,0.519813409,0.460880635,0.65670873,0.543103678,0.795831789,0.81203898,0.73060323,0.270151312,0.815937165,0.555801388,0.55713957,0.710277636,0.629479504,0.246855218
S62278,0.601855926,0.536901942,0.191198905,0.760142379,0.881579301,0.688020388,0.710234514,0.886453166,-0.044454009,0.764741937,0.387914034,0.64966469,0.460274711,0.831112422,0.796832431,0.696005894,0.603153264,0.678528272,0.796717115,0.526407131,0.906954515,0.654638635,0.696330446,0.945495288,0.594546621,-0.105296534,0.739223913,0.125365393,0.709578676,0.811167688,0.423026729,0.686950185,0.933287379,0.727432845,0.705588082,0.768285044,0.195776329,0.806742571,0.485797515,0.896852835,1,0.577686598,0.823750387,0.728083373,0.758196556,0.589372043,0.472540717,0.371559287,0.147725249,0.122592266,0.937623867,0.78774506,0.957789724,0.475237317,0.735157443,0.723668541,0.798431794,0.590476679,0.780610239,0.431927285,-0.157307698,0.795983616,0.161003852,0.542573208,0.911166995,0.608515138,0.852891825,-0.066662347,0.680539045,0.490235951,0.574579456,0.665864326,0.631550407,0.268201346,0.775162382,0.733687237,0.777560664,0.875409906,0.580770598,0.878611158,-0.058317242,0.699674265,0.779594696,0.898258019,0.527723527,0.84423349,0.560211089,0.493231693,0.738682207,0.550460607,0.85276093,0.901718521,0.799821764,0.343584649,0.875037282,0.580387208,0.661243438,0.782720488,0.598810197,0.302092598
S62326,0.792817017,0.769408788,0.379594174,0.657838736,0.763076815,0.748089004,0.681709998,0.747028472,0.41367286,0.559879878,0.272241224,0.545731833,0.694937199,0.821450846,0.772260058,0.725334306,0.666041495,0.778459573,0.738417888,0.838368463,0.642453462,0.760276486,0.883753344,0.675231979,0.877481802,0.377116736,0.813537064,0.689065272,0.659888235,0.646694839,0.478703811,0.741402499,0.673746685,0.680109134,0.888747378,0.693465704,0.500262634,0.644363276,0.834222937,0.51799313,0.577686598,1,0.853406653,0.863796511,0.842366391,0.738971093,0.659405169,0.707523595,0.352728577,0.553001479,0.687274671,0.330448698,0.571037951,0.858423836,0.770517688,0.694744291,0.760590928,0.300244473,0.787552403,0.75770836,0.016598807,0.469508046,0.12459238,0.744632683,0.610900833,0.752040101,0.812477124,0.412234625,0.671446946,0.800233367,0.671179651,0.533250753,0.83032599,0.633459065,0.695218527,0.671332111,0.388683706,0.585857319,0.812117067,0.57288041,0.118931417,0.820936031,0.749015356,0.759180867,0.847563921,0.834236018,0.32760121,0.84180504,0.784581799,0.751846519,0.771148695,0.717559914,0.715655917,0.768006986,0.618030464,0.843869941,0.75749025,0.754824656,0.793953463,0.66996333
