,S62343,S62284,S62566,S62500,S62583,S62421,S62554,S62434,S62338,S62393,S62549,S62355,S62398,S62542,S62524,S62543,S62272,S62254,S62561,S62535,S62488,S62571,S62501,S62511,S62487,S62591,S62260,S62553,S62379,S62333,S62319,S62439,S62321,S62368,S62507,S62555,S62482,S62536,S62477,S62279,S62278,S62326,S62475,S62320,S62573,S62572,S62375,S62392,S62356,S62416,S62512,S62548,S62596,S62506,S62441,S62590,S62523,S62537,S62271,S62345,S62565,S62374,S62415,S62517,S62595,S62440,S62349,S62283,S62380,S62481,S62585,S62547,S62285,S62337,S62259,S62381,S62560,S62584,S62525,S62435,S62351,S62476,S62429,S62277,S62541,S62505,S62422,S62325,S62397,S62399,S62332,S62513,S62261,S62518,S62350,S62273,S62567,S62253,S62373,S62339
S62549,0.622376705,0.139222516,0.722251749,0.417116243,0.502042563,0.529948704,0.601263973,0.567224598,-0.254164628,0.309476378,1,0.526000422,0.709666674,0.433228366,0.448948666,0.605608503,0.588289476,0.599264262,0.538171778,0.457287135,0.280233109,0.518910721,0.293458827,0.362233611,0.277071922,-0.02979743,0.597482469,0.36599238,0.243734205,0.673868207,0.307688137,0.640693694,0.366002604,0.682024795,0.35439333,0.654739518,0.715361475,0.603237736,0.443847335,0.461642822,0.387914034,0.272241224,0.493998274,0.402718978,0.388883428,0.553532976,0.093474954,0.119632327,0.202605014,0.371337982,0.398173617,0.647533993,0.500808233,0.197728115,0.295198557,0.071483124,0.613096253,0.402089141,0.609987521,0.369548036,0.58858621,0.393609221,0.312631323,0.471951334,0.498766474,0.707177849,0.486624931,-0.045024239,0.565810309,0.460012079,0.752063575,0.730489113,0.200753831,-0.156519993,0.682265451,0.418440201,0.43094241,0.588222258,0.545027882,0.593119718,-0.081644165,0.573380766,0.601249875,0.514667742,0.565596382,0.370181362,0.312643225,0.344838958,0.605554295,0.688402781,0.534009334,0.401900288,0.573382068,-0.099958826,0.57134777,0.557463117,0.458444816,0.647531829,0.517404322,-0.160377798
S62355,0.708046855,0.51838639,0.29634202,0.662240779,0.722652618,0.723418443,0.712277171,0.76698578,0.071157583,0.717573095,0.526000422,1,0.531788474,0.706152996,0.766308175,0.687343131,0.748409596,0.679161536,0.760664428,0.57021443,0.667828593,0.755975654,0.673101767,0.724557638,0.553622066,0.169536662,0.666675711,0.331817327,0.483802968,0.691486125,0.498836515,0.660549598,0.694665164,0.775049073,0.619462112,0.787531657,0.351664657,0.734130322,0.557066773,0.589547019,0.64966469,0.545731833,0.71450993,0.639583724,0.680091097,0.62108897,0.607514818,0.468984058,0.420725514,0.306182601,0.750991136,0.727801046,0.66237731,0.436163594,0.455410219,0.538583663,0.733233749,0.408052722,0.742172363,0.427073169,0.119767916,0.624940094,0.528774882,0.502532608,0.673903273,0.713847522,0.705608812,0.075975489,0.661742632,0.577476692,0.619133117,0.786797855,0.477996376,0.246093859,0.709126766,0.690992593,0.684973714,0.764785434,0.573388222,0.766173738,0.147174586,0.712419998,0.733285613,0.703504878,0.539985851,0.704785919,0.577631047,0.568481909,0.681743286,0.561731044,0.713990304,0.739543083,0.742803349,0.237815744,0.750279528,0.670355661,0.747248354,0.732076877,0.63344086,0.276958374
S62398,0.851544879,0.58138617,0.761872805,0.57256735,0.694007331,0.719123086,0.74772497,0.70909935,0.144873478,0.381168727,0.709666674,0.531788474,1,0.713512284,0.637911381,0.807877417,0.728598591,0.841016465,0.64764858,0.807016009,0.421642924,0.747350544,0.677875214,0.489225916,0.717710202,0.25850542,0.835127322,0.752773068,0.496718933,0.733291581,0.389375019,0.830895876,0.548545912,0.795364553,0.725405606,0.755038789,0.822909278,0.681587113,0.84255099,0.49341379,0.460274711,0.694937199,0.746308007,0.752755084,0.733536628,0.825859352,0.45686631,0.552247051,0.294263174,0.695163487,0.52633871,0.435577399,0.546162143,0.691770659,0.659416638,0.417131758,0.798756691,0.327327537,0.838906158,0.799239223,0.420697049,0.429032945,0.186616897,0.742023673,0.573854753,0.812254724,0.716145438,0.307925242,0.742655246,0.824402002,0.919400159,0.678544055,0.654973407,0.261760606,0.816900852,0.635839776,0.331295227,0.631146489,0.800547526,0.605875031,0.03444047,0.809724262,0.79264596,0.715338709,0.920876419,0.655346248,0.204619656,0.726712224,0.859526335,0.950180636,0.74506407,0.53563344,0.702251689,0.454349999,0.63651307,0.869291546,0.687373743,0.809948829,0.838933839,0.299363455
S62542,0.862308204,0.7670061,0.426726083,0.736110355,0.91803812,0.858976467,0.851272966,0.92101905,0.182398102,0.754844033,0.433228366,0.706152996,0.713512284,1,0.90422082,0.875957147,0.754074929,0.866111275,0.813917606,0.806103907,0.855680349,0.859878419,0.873657236,0.873406816,0.826810736,0.149427641,0.892794929,0.495321838,0.774078985,0.819458201,0.452308067,0.862006409,0.89176299,0.827658748,0.887693557,0.877872531,0.454923087,0.828598691,0.77100784,0.756700734,0.831112422,0.821450846,0.935757628,0.897839537,0.93594773,0.824135415,0.664484057,0.641005147,0.263121879,0.445299077,0.888920476,0.626907909,0.841949728,0.720736401,0.813402772,0.787357836,0.92016515,0.49007079,0.922705375,0.688428578,-0.070606346,0.751420295,0.239947574,0.731134971,0.840200092,0.79745848,0.928671752,0.179912016,0.788609196,0.787223053,0.761422337,0.702275713,0.835060994,0.467027377,0.871958347,0.800262294,0.601831999,0.846487551,0.778857221,0.830839069,0.07212353,0.866513457,0.885433063,0.907856435,0.802707516,0.936437138,0.457008801,0.758025814,0.911625545,0.803439573,0.932357199,0.8612219,0.849694877,0.568426999,0.867451708,0.815917559,0.83360221,0.900474838,0.817474028,0.484242016
S62524,0.807643311,0.70118386,0.361880183,0.69791567,0.879697072,0.820417208,0.797019027,0.906278019,0.164277711,0.740797762,0.448948666,0.766308175,0.637911381,0.90422082,1,0.813268277,0.722789022,0.836872704,0.853902205,0.788587949,0.823833178,0.813087745,0.817538341,0.853469582,0.749709372,0.094908045,0.860460034,0.425956996,0.745610918,0.805192077,0.453953304,0.811132553,0.85603685,0.783730277,0.834043673,0.833636285,0.410001811,0.850120031,0.707122444,0.698114083,0.796832431,0.772260058,0.893458918,0.846259654,0.8760862,0.7624737,0.630571089,0.572776896,0.340960345,0.363474225,0.862942486,0.64892594,0.801591841,0.648779142,0.742981632,0.721220105,0.896757405,0.513134175,0.87636171,0.561954687,-0.088006498,0.70114212,0.24525685,0.680910333,0.793618897,0.784078578,0.886841308,0.169875094,0.718528257,0.725442119,0.695050402,0.698706676,0.732483364,0.484827834,0.853296078,0.7472612,0.65269747,0.81444763,0.76924019,0.829847819,0.098108766,0.843633876,0.819517856,0.844794025,0.699615649,0.875250378,0.480892518,0.697793537,0.857497596,0.725626366,0.892163595,0.843068375,0.855989581,0.538990744,0.85207184,0.770422405,0.796826731,0.875402753,0.739532642,0.468358738
S62543,0.922810775,0.664025003,0.597721892,0.686214971,0.808491574,0.835625812,0.956801801,0.865312082,0.160825783,0.628166318,0.605608503,0.687343131,0.807877417,0.875957147,0.813268277,1,0.839096434,0.843972927,0.713295601,0.794624917,0.65255658,0.90525604,0.754693597,0.71160909,0.704870581,0.097185938,0.881260442,0.57192524,0.58225622,0.827500878,0.275772545,0.937169434,0.754965788,0.911561072,0.798904634,0.95158633,0.531586082,0.851631103,0.7500273,0.665384175,0.696005894,0.725334306,0.825810204,0.775172358,0.873675644,0.81763723,0.604961554,0.571694151,0.227437593,0.581358835,0.74061955,0.573462245,0.75052914,0.668019504,0.702032571,0.59114227,0.935888318,0.289412072,0.917961658,0.749452029,0.097018986,0.733243799,0.328034445,0.807375873,0.780828765,0.870660998,0.813304489,0.058950024,0.724089606,0.808669824,0.827433635,0.744634848,0.676731677,0.252162055,0.917698917,0.75124288,0.495963945,0.878047497,0.727003986,0.850037308,-0.041505302,0.855116611,0.896494906,0.861032087,0.851236337,0.813458244,0.341647266,0.818832125,0.93714757,0.892637856,0.912065272,0.724857002,0.72164875,0.43408405,0.890542518,0.794351978,0.82632138,0.92266116,0.881599231,0.3033383
S62272,0.807731956,0.560807277,0.610872622,0.696016922,0.724469115,0.701876284,0.865293312,0.744481929,0.145666169,0.574108182,0.588289476,0.748409596,0.728598591,0.754074929,0.722789022,0.839096434,1,0.699912602,0.661519058,0.711705455,0.578074212,0.812103152,0.768452635,0.660087975,0.684047282,0.244239395,0.793721404,0.593652494,0.473390162,0.807224671,0.415655517,0.784581276,0.647567773,0.887112882,0.77616272,0.868626636,0.537884999,0.759115616,0.793513997,0.622503992,0.603153264,0.666041495,0.790439787,0.706352352,0.776337788,0.751434679,0.654497261,0.622960252,0.310758106,0.581879533,0.677164011,0.564876002,0.666306086,0.694515794,0.563920732,0.508206391,0.830378049,0.275943889,0.866597789,0.741789027,0.277124388,0.64701505,0.483815191,0.659754344,0.668467094,0.779790462,0.691674845,0.051475711,0.803698559,0.840666478,0.804719284,0.734991861,0.56816047,0.294061178,0.807564461,0.750866049,0.446680517,0.792114847,0.673128645,0.735550259,0.002398362,0.872333101,0.79754618,0.765354958,0.782553992,0.732678196,0.373010124,0.716251522,0.793740916,0.74653756,0.813109172,0.694950647,0.637410318,0.371168375,0.730648151,0.83540177,0.76380415,0.781244654,0.855887799,0.329841814
S62254,0.884573498,0.750330958,0.542441254,0.620350171,0.826391928,0.874516618,0.817078408,0.873760712,0.158170314,0.654756609,0.599264262,0.679161536,0.841016465,0.866111275,0.836872704,0.843972927,0.699912602,1,0.814070127,0.869395131,0.67082923,0.832579455,0.765256623,0.714015242,0.75240784,0.180320463,0.900241482,0.573505116,0.706686514,0.747548611,0.464111485,0.900724819,0.781969379,0.781666521,0.773648622,0.837057469,0.654929792,0.814088956,0.787271741,0.609737919,0.678528272,0.778459573,0.850000825,0.871785433,0.851787383,0.814132225,0.53631923,0.596554254,0.347192741,0.508896179,0.737630805,0.581298643,0.70768595,0.669030785,0.748700012,0.637108459,0.901499592,0.455349029,0.89262264,0.669686654,0.127486577,0.585100534,0.253180445,0.796998357,0.726896288,0.868454978,0.861664088,0.288641617,0.752753545,0.785882355,0.816310718,0.721823257,0.778465613,0.363951406,0.886519467,0.709344036,0.550469006,0.746811833,0.833080092,0.783796966,0.100139179,0.823936054,0.853805399,0.813154176,0.829401753,0.813717291,0.414791438,0.741464088,0.919406643,0.886770411,0.867113369,0.713463157,0.856156299,0.527528444,0.798353614,0.835223704,0.807351477,0.923956847,0.765909179,0.378507928
S62561,0.745703599,0.563666798,0.318457503,0.790429745,0.885828249,0.834172591,0.701756443,0.904917827,0.087790102,0.726267204,0.538171778,0.760664428,0.64764858,0.813917606,0.853902205,0.713295601,0.661519058,0.814070127,1,0.689283594,0.799304641,0.770349768,0.726529894,0.856392138,0.682737034,0.102949609,0.791693799,0.332433271,0.625482341,0.809778124,0.625295056,0.769186337,0.838412174,0.779704268,0.748059077,0.775686909,0.45262537,0.815759666,0.650008145,0.736459978,0.796717115,0.738417888,0.854782587,0.78950176,0.801204452,0.705523828,0.496199718,0.474631684,0.415864848,0.29235152,0.865702417,0.707928225,0.804428686,0.548911865,0.677557164,0.663659906,0.821985155,0.507594422,0.834521528,0.523835254,0.11735905,0.664643506,0.246121735,0.634802215,0.763422419,0.809098221,0.888229739,0.131088885,0.703993775,0.604636957,0.691108845,0.801164328,0.644127013,0.307941087,0.785617691,0.761744133,0.785960497,0.784321756,0.693689819,0.820117746,0.105928525,0.780890733,0.837273854,0.844675682,0.701770771,0.849547468,0.634046029,0.615356234,0.776814285,0.69915627,0.828083979,0.859988337,0.913171263,0.388894613,0.814313266,0.759725252,0.762649925,0.833684603,0.681961017,0.375678066
S62535,0.842578921,0.781371098,0.603510843,0.501406029,0.697528001,0.750718654,0.774085405,0.744160863,0.241887363,0.469930266,0.457287135,0.57021443,0.807016009,0.806103907,0.788587949,0.794624917,0.711705455,0.869395131,0.689283594,1,0.531689761,0.754569381,0.775462834,0.569120413,0.763026937,0.337376655,0.902325672,0.720997694,0.734243819,0.667223337,0.298640394,0.858485333,0.654084448,0.687261489,0.800476312,0.762931541,0.652729235,0.736094574,0.818831385,0.422095676,0.526407131,0.838368463,0.809276483,0.85894108,0.827781758,0.754192649,0.539423282,0.748064538,0.217789978,0.567806251,0.582696124,0.384901146,0.53473793,0.752890055,0.794898735,0.59110235,0.853431391,0.378167255,0.842277402,0.700205494,0.066500416,0.457034996,0.156850409,0.759375801,0.590743636,0.802388441,0.750418714,0.397557194,0.750604254,0.884420107,0.773180412,0.528939645,0.785163412,0.492973962,0.834804003,0.593572128,0.289026472,0.593965988,0.842188193,0.611281433,0.068056384,0.816439421,0.722718371,0.698200938,0.836890483,0.722728568,0.201569372,0.791722133,0.871456462,0.856033884,0.804362721,0.594679655,0.69659912,0.640652909,0.640975461,0.843134508,0.753090451,0.854921834,0.764750375,0.474320072
