row_idx,col_idx,log2ratio
9,24,3
9,25,5
9,26,2
9,27,2
9,28,2
9,29,2
9,30,3
9,31,3
9,32,4
9,33,5
9,34,2
9,35,4
9,36,5
10,1,4
10,2,4
10,3,4
10,4,4
10,5,4
10,6,3
10,7,3
10,8,5
10,9,4
10,10,5
10,11,3
10,12,4
10,13,2
10,14,3
10,15,5
10,16,5
10,17,3
10,18,4
10,19,4
10,20,0
10,21,3
10,22,1
10,23,4
10,24,4
10,25,4
10,26,4
10,27,3
10,28,4
10,29,4
10,30,4
10,31,5
10,32,4
10,33,5
10,34,3
10,35,4
10,36,4
11,1,4
11,2,4
11,3,3
11,4,2
11,5,4
11,6,2
11,7,5
11,8,4
11,9,4
11,10,4
11,11,3
11,12,4
11,13,3
11,14,4
11,15,3
11,16,4
11,17,4
11,18,2
11,19,5
11,20,4
11,21,4
11,22,1
11,23,3
11,24,3
11,25,4
11,26,4
11,27,1
11,28,5
11,29,5
11,30,4
11,31,2
11,32,4
11,33,4
11,34,1
11,35,4
11,36,4
12,1,4
12,2,4
12,3,4
12,4,0
12,5,4
12,6,2
12,7,4
12,8,4
12,9,5
12,10,5
12,11,4
12,12,4
12,13,3
12,14,3
12,15,3
12,16,4
12,17,3
12,18,3
12,19,5
12,20,5
12,21,3
12,22,1
12,23,4
12,24,4
12,25,4
12,26,4
12,27,3
12,28,3
12,29,3
12,30,4
12,31,3
12,32,3
12,33,4
12,34,2
12,35,4
12,36,3
13,1,5
13,2,3
13,3,5
13,4,3
13,5,3
13,6,3
13,7,4
13,8,5
13,9,4
13,10,5
13,11,3
13,12,4
13,13,4
13,14,4
13,15,5
13,16,4
13,17,2
13,18,3
13,19,3
13,20,4
13,21,2
13,22,1
13,23,4
13,24,4
13,25,4
13,26,4
13,27,4
13,28,2
13,29,3
13,30,4
13,31,4
13,32,5
13,33,3
13,34,3
13,35,3
13,36,3
14,1,5
14,2,3
14,3,4
14,4,4
14,5,4
14,6,0
14,7,4
14,8,4
14,9,5
14,10,4
14,11,5
14,12,4
14,13,3
14,14,4
14,15,4
14,16,5
14,17,4
14,18,4
14,19,3
14,20,2
14,21,5
14,22,2
