id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,1.2066,1.03695,1.118725,1.09335,0.8698975,1.10665,1.02265,1.194225,0.894185,1.727725,1.49905,1.6703,1.6737,1.228575,1.46755,1.18555,3.00535,2.8897,3.00015,2.829025,2.766425,2.604325,4.714125,4.494575,4.5268,4.832375,4.65075,5.21785,5.364075,6.392,5.842925,8.1848
2,1.007175,0.9692725,0.9420375,1.002275,1.045675,1.006775,1.08875,0.9516975,1.136375,1.643525,1.6247,1.523475,1.58335,1.461925,1.574075,1.0658,2.977225,2.88835,3.01885,2.83405,2.33635,2.7633,4.533175,4.68525,4.25895,4.7449,4.573225,5.501875,4.979625,5.944225,6.0186,8.19115
3,0.9585825,0.89299,0.94833,1.152,1.010475,0.90291,1.0714,0.92172,1.215775,1.730125,1.522525,1.6764,1.595475,1.72885,1.56685,1.393975,3.104125,2.823075,2.89395,2.8957,2.710775,2.710575,4.7905,4.267625,4.65945,4.919275,4.851425,5.74935,4.965025,6.20335,6.157325,8.08745
4,1.07945,1.020825,0.8661775,0.990035,0.983515,1.018125,1.00555,1.02325,1.065625,1.635075,1.6514,1.711725,1.8164,1.3512,1.690975,1.044775,3.140825,3.214075,2.7442,2.781825,2.746725,2.59395,5.3194,4.588575,4.91125,4.842625,5.204775,5.462,4.925475,5.57435,7.006125,8.6009
5,0.9766325,0.9366475,0.8596025,1.02675,1.030725,1.10635,1.1778,0.8951275,0.949505,1.730825,1.759325,1.796025,1.590525,1.5427,1.55405,1.26435,3.1707,3.052475,2.8733,3.02355,2.603375,3.002925,5.177075,4.792975,4.7917,5.003025,5.050475,5.644675,5.36175,6.00935,6.41795,8.908675
6,1.02575,0.8854825,0.94978,1.088625,0.9959825,1.049425,1.051625,1.28785,1.2023,1.744175,1.72945,1.820125,1.75735,1.51435,1.560675,1.296125,3.12025,3.19965,3.25145,2.495075,2.3763,3.07435,4.962925,4.690675,4.98445,5.278875,5.3432,5.623275,5.479825,5.601925,6.456625,8.554075
7,1.065625,0.90954,0.9656825,0.87394,0.9470675,1.085675,0.91163,1.2745,1.086375,1.77905,1.415225,1.787175,1.643575,1.109075,1.311625,1.283475,3.2574,3.104125,3.04375,2.86755,2.543,2.819075,5.004225,4.954375,5.2693,5.92705,5.336125,5.37355,5.2062,5.352775,7.109425,8.929725
8,1.143625,1.1079,0.886895,1.0656,1.088025,1.16295,0.902045,1.0983,0.86851,1.73835,1.608275,1.803775,1.766175,1.22675,1.3821,1.3396,3.07065,3.01295,3.198475,2.93565,2.634525,2.6381,5.1882,4.943575,5.148625,5.8965,5.597475,5.7035,5.477925,4.8487,6.944775,8.97005
9,0.88697,1.073475,0.84711,0.8486675,1.0636,1.1968,1.0873,0.94132,1.077925,1.741775,1.69965,1.886,1.619925,1.158825,1.440875,1.100575,3.086275,2.9726,3.322525,2.696675,2.432875,2.6871,5.518625,5.25645,5.40735,5.675925,5.759175,5.392275,5.4949,5.019025,7.3218,8.114525
10,1.15315,0.8719525,0.9243275,0.936415,1.040025,1.25295,0.843335,1.19505,1.12875,1.631675,1.72915,1.7483,1.5344,1.12435,1.462175,1.36455,2.895625,2.86255,3.033975,2.86,2.750625,2.795825,4.9849,5.42895,5.5714,5.431575,5.69225,5.495325,5.511975,4.798175,6.9722,8.1192
